Date	Dh(mm)
01/04/1999 00:00	0
10/04/1999 00:00	-5
26/04/1999 00:00	-17
06/05/1999 00:00	-30
14/05/1999 00:00	-50
22/05/1999 00:00	-70
01/06/1999 00:00	-80
07/06/1999 00:00	-85
15/06/1999 00:00	-80
29/06/1999 10:00	-65
29/06/1999 16:00	0
15/03/2000 00:00	0
22/03/2000 00:00	-20
17/04/2000 00:00	-120
15/05/2000 00:00	-220
25/05/2000 00:00	-240
13/06/2000 00:00	-250
10/07/2000 00:00	-210
03/08/2000 00:00	-180
26/08/2000 00:00	-150
25/09/2000 09:00	-70
25/09/2000 23:00	-30
17/10/2000 00:00	-10
01/11/2000 00:00	0
23/01/2001 00:00	0
24/02/2001 00:00	-40
10/03/2001 00:00	-50
01/04/2001 00:00	-60
20/05/2001 00:00	-60
26/05/2001 00:00	-70
04/06/2001 00:00	-100
14/06/2001 00:00	-150
24/06/2001 00:00	-180
04/07/2001 00:00	-195
15/07/2001 00:00	-205
05/08/2001 00:00	-205
14/08/2001 00:00	-200
04/09/2001 15:00	-180
04/09/2001 17:00	-130
30/01/2002 00:00	0
17/03/2002 00:00	0
10/06/2002 00:00	-145
16/06/2002 00:00	-150
14/07/2002 00:00	-150
24/07/2002 00:00	-140
14/08/2002 00:00	-100
30/08/2002 00:00	-80
17/09/2002 00:00	-65
07/10/2002 00:00	-60
17/11/2002 00:00	-60
27/11/2002 00:00	-50
11/12/2002 00:00	-10
19/12/2002 00:00	0
18/03/2003 00:00	0
19/06/2003 00:00	-150
25/06/2003 15:00	-155
26/06/2003 06:00	-100
27/06/2003 12:00	-80
29/06/2003 00:00	-70
09/07/2003 00:00	-50
08/08/2003 00:00	-20
23/08/2003 00:00	-10
23/09/2003 00:00	0
20/04/2004 00:00	0
27/04/2004 00:00	-10
01/05/2004 00:00	-20
05/05/2004 00:00	-35
13/05/2004 00:00	-80
17/05/2004 00:00	-90
21/05/2004 00:00	-90
27/05/2004 00:00	-80
25/06/2004 00:00	-30
14/07/2004 00:00	0
24/03/2005 00:00	0
01/04/2005 00:00	-5
15/04/2005 00:00	-20
03/05/2005 00:00	-40
20/05/2005 00:00	-58
01/06/2005 00:00	-68
09/06/2005 00:00	-74
15/06/2005 00:00	-75
20/06/2005 00:00	-75
25/06/2005 00:00	-70
25/07/2005 14:00	-27
25/07/2005 16:30	-17
19/08/2005 00:00	-13
28/08/2005 00:00	-10
07/09/2005 00:00	-4
14/09/2005 00:00	0
10/05/2006 00:00	0
20/05/2006 00:00	-25
25/05/2006 00:00	-30
01/06/2006 00:00	-25
09/06/2006 00:00	-10
14/06/2006 00:00	-5
19/06/2006 00:00	0
22/03/2007 00:00	0
05/04/2007 00:00	-10
15/04/2007 00:00	-15
01/05/2007 00:00	-18
09/06/2007 00:00	-18
24/06/2007 00:00	-20
04/07/2007 00:00	-24
21/07/2007 00:00	-35
28/07/2007 00:00	-38
03/08/2007 00:00	-35
10/08/2007 00:00	-25
13/08/2007 00:00	-20
20/08/2007 00:00	-15
01/11/2007 00:00	-15
16/11/2007 00:00	-13
09/12/2007 00:00	-7
19/12/2007 00:00	-4
31/12/2007 00:00	0
25/02/2008 00:00	0
03/04/2008 00:00	-35
06/05/2008 00:00	-105
11/05/2008 00:00	-110
16/05/2008 00:00	-112
21/05/2008 00:00	-113
27/05/2008 18:00	-115
04/07/2008 06:00	-120
04/07/2008 18:00	-90
09/07/2008 00:00	-70
14/07/2008 00:00	-50
20/07/2008 00:00	-30
31/07/2008 23:59	-10
01/08/2008 00:00	0
13/03/2009 00:00	0
20/03/2009 00:00	-5
09/06/2009 00:00	-87
15/06/2009 00:00	-90
24/06/2009 00:00	-90
29/06/2009 00:00	-65
06/07/2009 00:00	-34
11/07/2009 00:00	-28
30/07/2009 00:00	-14
25/08/2009 00:00	0
29/08/2009 00:00	0
21/09/2009 00:00	-13
24/09/2009 00:00	-15
28/09/2009 00:00	-15
06/10/2009 00:00	-10
19/10/2009 00:00	0
23/03/2010 00:00	0
19/04/2010 00:00	-40
28/04/2010 00:00	-50
11/05/2010 00:00	-54
21/05/2010 00:00	-54
05/06/2010 00:00	-50
25/06/2010 00:00	-40
24/07/2010 00:00	-20
16/08/2010 00:00	-5
24/08/2010 17:00	-5
31/08/2010 00:00	-40
04/09/2010 16:00	-50
05/09/2010 06:00	0
07/09/2010 19:00	0
07/09/2010 20:30	-30
14/09/2010 00:00	-30
13/11/2010 00:00	-65
07/12/2010 21:00	-65
08/12/2010 04:00	-35
17/12/2010 00:00	-25
27/12/2010 00:00	-20
01/02/2011 00:00	-20
20/02/2011 00:00	-25
02/03/2011 00:00	-30
12/03/2011 00:00	-40
23/03/2011 12:58	-58
05/04/2011 14:00	-90
15/04/2011 13:58	-122
18/04/2011 02:00	-123
24/04/2011 06:00	-110
01/05/2011 02:00	-90
11/05/2011 07:00	-70
24/05/2011 21:00	-48
04/06/2011 16:00	-30
08/06/2011 18:00	-28
28/06/2011 12:00	-28
02/07/2011 00:00	-25
14/07/2011 22:00	-10
24/07/2011 00:00	0
26/08/2011 00:00	0
26/08/2011 12:00	-13
07/09/2011 00:00	-13
17/09/2011 00:00	-25
