Date	Dh(mm)
21/04/2009 00:00	0
29/04/2009 15:00	-16
24/06/2009 12:00	-50
01/07/2009 10:30	-29
21/07/2009 16:30	-49
09/09/2009 14:15	-41
28/09/2009 12:00	0
20/04/2010 00:00	0
14/05/2010 19:20	-22
27/05/2010 20:13	-43
15/06/2010 12:00	-57
01/07/2010 16:25	-60
20/07/2010 08:11	-67
03/08/2010 17:26	-30
17/08/2010 15:56	-81
07/09/2010 13:38	-84
28/09/2010 11:20	-88
10/10/2010 20:03	-81
22/10/2010 01:48	-70
05/11/2010 16:27	-51
17/11/2010 03:33	-26
29/11/2010 06:56	0
26/04/2011 06:11	0
18/05/2011 05:54	-21
09/06/2011 05:37	-45
25/06/2011 09:45	-67
06/07/2011 09:34	-89
21/07/2011 06:34	-93
05/08/2011 19:05	-85
30/08/2011 08:54	-55
09/09/2011 17:14	-59
14/09/2011 21:25	-72
20/09/2011 01:35	-95
27/09/2011 04:19	-127
04/10/2011 07:03	-140
17/10/2011 21:00	-137
24/10/2011 23:45	-117
26/10/2011 06:51	-91
22/11/2011 10:41	-67
04/12/2011 17:37	-37
18/12/2011 23:04	0
03/06/2012 16:58	0
26/06/2012 13:52	-137
04/07/2012 11:20	-186
11/07/2012 06:15	-217
17/07/2012 13:12	-232
24/07/2012 05:06	-216
01/08/2012 01:32	-210
10/08/2012 15:44	-204
20/08/2012 23:47	-189
28/08/2012 14:20	-165
16/09/2012 13:01	-119
05/10/2012 17:16	-84
23/10/2012 12:21	-65
07/11/2012 22:24	-72
20/11/2012 13:15	-87
08/12/2012 20:16	-97
21/12/2012 00:14	-53
31/12/2012 14:37	0
01/07/2013 04:18	0
23/07/2013 16:35	-8
01/08/2013 06:32	-23
07/08/2013 17:59	-45
13/08/2013 16:17	-75
20/08/2013 12:31	-101
01/09/2013 02:31	-109
14/09/2013 15:58	-117
25/09/2013 06:21	-124
10/10/2013 09:45	-127
27/10/2013 01:30	-131
08/11/2013 13:50	-124
19/11/2013 15:20	-107
08/12/2013 18:13	-70
25/12/2013 11:30	-38
08/01/2014 14:40	-18
19/01/2014 17:10	0
20/05/2014 16:55	0
31/05/2014 22:10	-26
10/06/2014 07:46	-60
17/06/2014 12:16	-102
25/06/2014 10:47	-116
04/07/2014 18:56	-121
13/07/2014 20:59	-118
22/07/2014 10:55	-118
01/08/2014 00:37	-125
08/08/2014 11:18	-140
15/08/2014 03:48	-158
21/08/2014 08:11	-179
26/08/2014 12:21	-190
28/08/2014 22:16	-175
31/08/2014 17:31	-160
06/09/2014 09:23	-150
14/09/2014 16:19	-140
01/10/2014 14:51	-120
21/10/2014 13:27	-99
01/11/2014 16:44	-55
05/11/2014 13:36	0
15/05/2015 08:27	0
19/05/2015 02:57	-11
23/05/2015 05:48	-33
26/05/2015 16:12	-59
05/06/2015 00:33	-70
10/06/2015 10:46	-90
15/06/2015 05:18	-118
26/06/2015 18:22	-156
07/07/2015 13:31	-186
16/07/2015 16:39	-174
25/07/2015 22:18	-155
04/08/2015 12:34	-146
19/08/2015 14:14	-140
02/09/2015 17:43	-130
15/09/2015 12:52	-120
01/10/2015 00:00	-86
16/10/2015 06:32	-50
03/11/2015 14:34	-28
24/11/2015 11:30	-8
01/12/2015 08:23	0
01/05/2017 14:01	0
07/06/2017 01:59	-31
20/06/2017 23:06	-59
28/06/2017 15:23	-98
