Date	Dh(mm)
02/05/2015 00:00	0
03/05/2015 10:56	-39
04/05/2015 06:20	-116
05/05/2015 03:53	-237
05/05/2015 13:35	-260
05/05/2015 18:58	-232
06/05/2015 03:03	-118
06/05/2015 14:54	-42
08/05/2015 00:50	0
26/05/2017 00:00	0
08/06/2017 08:30	-111
22/06/2017 08:00	-140
26/07/2017 08:45	-141
10/08/2017 08:40	-124
05/09/2017 09:33	-127
04/10/2017 10:33	-112
23/11/2017 10:00	-112
13/12/2017 08:15	-85
31/12/2017 00:00	0
08/06/2018 00:00	0
14/06/2018 08:05	-43
19/07/2018 08:30	-187
09/08/2018 09:00	-203
30/08/2018 07:45	-206
26/09/2018 08:30	-186
08/11/2018 09:00	-173
29/11/2018 09:55	-169
13/12/2018 09:30	-148
29/01/2019 09:15	-60
28/02/2019 09:20	-88
11/04/2019 10:50	-148
10/05/2019 08:00	-247
12/06/2019 12:15	-330
25/06/2019 07:30	-324
11/07/2019 07:00	-310
25/07/2019 07:25	-267
22/08/2019 09:30	-225
19/09/2019 07:50	-194
24/10/2019 09:30	-157
06/12/2019 08:50	-82
16/01/2020 10:21	0
14/05/2020 08:49	0
11/06/2020 09:30	-83
24/06/2020 08:00	-113
02/07/2020 09:20	-123
23/07/2020 08:06	-170
20/08/2020 09:56	-213
24/09/2020 08:15	-176
22/10/2020 07:45	-77
10/11/2020 09:15	-64
26/11/2020 10:00	-64
14/01/2021 09:00	0
01/04/2021 07:50	0
06/05/2021 08:30	-96
01/07/2021 09:40	-230
21/07/2021 08:55	-201
24/08/2021 09:30	-254
29/09/2021 08:00	-250
18/11/2021 09:39	-271
22/12/2021 10:00	-170
22/02/2022 01:29	0
01/04/2022 00:00	0
13/04/2022 10:52	-173
31/05/2022 09:55	-378
29/06/2022 16:00	-378
07/07/2022 09:26	-238
20/07/2022 14:40	-292
18/08/2022 08:55	-284
05/10/2022 10:04	-158
20/10/2022 09:06	-73
17/11/2022 23:20	0
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
