"Date"	"Dh(cm)"
"23/04/2014 13:40"	0
"22/05/2014 08:20"	-30
"05/06/2014 08:35"	-30
"18/06/2014 06:20"	-30
"01/07/2014 09:50"	-30
"06/07/2014 20:00"	-30
"09/07/2014 00:00"	0
"04/08/2014 12:00"	0
"12/04/2015 18:50"	0
"05/05/2015 12:20"	-20
"27/05/2015 13:40"	-50
"10/06/2015 09:30"	-50
"30/06/2015 13:40"	-50
"06/07/2015 12:20"	-45
"21/07/2015 09:00"	-30
"06/08/2015 14:10"	0
"07/06/2016 10:00"	0
"23/06/2016 12:30"	-15
"19/07/2016 09:05"	-40
"04/08/2016 08:45"	-15
"23/08/2016 11:50"	-15
"15/09/2016 07:20"	-20
"28/09/2016 13:15"	-20
"27/10/2016 07:30"	0
"16/11/2016 00:00"	0
"09/05/2017 12:15"	0
"20/06/2017 09:25"	-10
"12/07/2017 07:35"	-20
"26/07/2017 09:00"	-15
"16/08/2017 12:25"	-10
"07/09/2017 07:00"	0
"20/09/2017 00:00"	0
"13/06/2018 07:40"	0
"15/06/2018 07:50"	0
"19/07/2018 09:40"	-42
"08/08/2018 12:55"	-30
"29/08/2018 08:20"	-37
"11/10/2018 09:25"	-57
"21/11/2018 10:20"	-35
"13/12/2018 08:35"	-35
"08/01/2019 13:10"	-35
"31/01/2019 08:20"	-50
"12/02/2019 13:55"	-35
"20/03/2019 08:55"	-35
"17/04/2019 11:50"	-62
"02/05/2019 08:30"	-57
"05/06/2019 08:25"	-98
"27/06/2019 13:05"	-96
"18/07/2019 09:50"	-50
"06/08/2019 08:55"	0
"21/08/2019 13:50"	0
"18/03/2021 22:55"	0
"15/04/2021 09:50"	-20
"06/05/2021 07:50"	-20
"18/06/2021 06:50"	-20
"22/07/2021 13:25"	0
"10/08/2021 11:45"	0
"08/09/2021 09:30"	-20
"28/09/2021 11:30"	-30
"25/10/2021 13:00"	0
"16/02/2022 12:10"	0
"27/04/2022 08:55"	-40
"08/06/2022 12:00"	-90
"23/06/2022 13:25"	-40
"12/07/2022 06:40"	-10
"20/07/2022 12:10"	0
