"Date"	"Dh(cm)"	"id"
"20/03/2012 22:51"	0	2
"01/04/2012 02:22"	-0.2	2
"08/04/2012 19:59"	-0.6	2
"17/04/2012 05:59"	-1	2
"29/04/2012 12:48"	-1.5	2
"16/05/2012 03:20"	-1.7	2
"25/05/2012 11:11"	-1.6	2
"03/06/2012 19:01"	-1.2	2
"10/06/2012 20:16"	-0.5	2
"16/06/2012 07:17"	-0.2	2
"24/06/2012 22:45"	-0.2	2
"29/06/2012 17:24"	-0.6	2
"04/07/2012 17:30"	-1.7	2
"10/07/2012 09:59"	-2.8	2
"13/07/2012 03:30"	-3.1	2
"17/07/2012 11:14"	-3.3	2
"08/08/2012 10:52"	-0.2	2
"16/08/2012 12:22"	-2.5	2
"30/08/2012 11:00"	0	2
"01/06/2017 00:00"	0	2
"13/06/2017 11:10"	-1.8	2
"04/07/2017 13:00"	-0.9	2
"24/07/2017 11:00"	0	2
"18/09/2018 07:49"	0	2
"23/10/2018 07:52"	-2.9	2
"21/11/2018 09:20"	0	2
"29/04/2019 08:33"	0	2
"18/06/2019 08:40"	-1.5	2
"09/07/2019 07:59"	-3	2
"03/09/2019 08:05"	-4.2	2
"08/10/2019 09:25"	-5	2
"06/11/2019 09:30"	0	2
"30/04/2020 00:00"	0	2
"12/05/2020 07:50"	-2	2
"16/06/2020 08:15"	-2.9	2
"29/06/2020 08:05"	-2.3	2
"21/07/2020 09:50"	-3.5	2
"29/07/2020 12:05"	-3.4	2
"06/08/2020 12:20"	-4.3	2
"25/08/2020 08:20"	-5	2
"29/09/2020 08:00"	-3.2	2
"04/11/2020 09:15"	-1.4	2
"16/12/2020 10:00"	-1.3	2
"20/01/2021 09:00"	-1.3	2
"03/02/2021 10:15"	0	2
"01/05/2021 00:00"	0	2
"01/06/2021 08:15"	-2.6	2
"06/07/2021 07:40"	-4.8	2
"12/08/2021 08:47"	-2.2	2
"25/08/2021 08:16"	-1.1	2
"23/09/2021 07:55"	-2.6	2
"07/10/2021 08:00"	-1.6	2
"23/11/2021 13:36"	-1.4	2
"13/01/2022 11:38"	0	2
"10/02/2022 00:00"	0	2
"02/03/2022 13:05"	-0.8	2
"20/04/2022 13:00"	-3.5	2
"22/06/2022 00:00"	-3.5	2
"23/06/2022 00:00"	-10	2
"01/08/2022 10:00"	-1.1	2
"08/09/2022 10:00"	0	2
