"Date"	"Dh(cm)"	"id"
"24/06/2014 00:00"	0	4
"11/07/2014 00:00"	-2.5	4
"20/07/2014 00:00"	-4.5	4
"31/07/2014 23:59"	-7	4
"01/08/2014 00:00"	0	4
"01/05/2015 00:00"	0	4
"11/05/2015 00:00"	-2	4
"10/06/2015 00:00"	-8.5	4
"19/06/2015 00:00"	-10.5	4
"29/06/2015 00:00"	-12	4
"10/07/2015 00:00"	-12	4
"19/07/2015 00:00"	-10.5	4
"07/08/2015 00:00"	-6	4
"07/09/2015 00:00"	0	4
"25/04/2016 00:00"	0	4
"20/05/2016 00:00"	-12.5	4
"23/05/2016 00:00"	-13.2	4
"28/05/2016 12:00"	-13.2	4
"31/05/2016 07:00"	0	4
"08/06/2016 00:00"	0	4
"21/06/2016 01:20"	-11.6	4
"02/07/2016 00:00"	-18	4
"10/07/2016 00:00"	-21	4
"16/07/2016 00:00"	-21	4
"23/07/2016 00:00"	-19.5	4
"12/08/2016 00:00"	-15.5	4
"07/09/2016 00:00"	-5.6	4
"23/09/2016 00:00"	-5.6	4
"01/10/2016 00:00"	-4.8	4
"11/10/2016 00:00"	-3	4
"23/10/2016 00:00"	0	4
"15/03/2017 00:00"	0	4
"24/03/2017 00:00"	-4.5	4
"04/04/2017 00:00"	-8.5	4
"20/04/2017 00:00"	-13.5	4
"20/05/2017 00:00"	-18.5	4
"09/06/2017 00:00"	-18.5	4
"04/07/2017 00:00"	-12.5	4
"20/07/2017 00:00"	-9.5	4
"02/08/2017 00:00"	-8	4
"02/09/2017 00:00"	-7.5	4
"31/10/2017 00:00"	-7	4
"20/11/2017 00:00"	-6.5	4
"08/12/2017 00:00"	-4.5	4
"31/12/2017 00:00"	0	4
"21/04/2018 00:00"	0	4
"14/05/2018 00:00"	-4	4
"30/05/2018 00:00"	-14	4
"10/07/2018 00:00"	-11	4
"08/08/2018 00:00"	-3.5	4
"18/09/2018 00:00"	-3	4
"20/10/2018 00:00"	0	4
"26/02/2019 00:00"	0	4
"06/03/2019 00:00"	-5	4
"13/03/2019 00:00"	-11.5	4
"21/03/2019 00:00"	-14	4
"02/04/2019 00:00"	-15.5	4
"27/05/2019 16:09"	-15.5	4
"08/06/2019 02:00"	-5.6	4
"10/07/2019 11:52"	-5.6	4
"13/08/2019 00:00"	-6.5	4
"15/08/2019 00:00"	-6.5	4
"22/09/2019 00:00"	0	4
"15/03/2020 00:00"	0	4
"30/05/2020 00:00"	-19.5	4
"16/06/2020 00:00"	-20.5	4
"27/06/2020 00:00"	-19	4
"18/07/2020 00:00"	-13	4
"06/08/2020 00:00"	-8.5	4
"15/09/2020 00:00"	0	4
"30/03/2021 00:00"	0	4
"12/04/2021 00:00"	-3	4
"24/04/2021 00:00"	-8.5	4
"03/05/2021 09:50"	-13.2	4
"02/06/2021 06:50"	-17.8	4
"06/07/2021 13:20"	-18.7	4
"19/08/2021 05:40"	-12.4	4
"13/10/2021 09:22"	-3.5	4
"01/12/2021 07:24"	-3.3	4
"19/01/2022 17:15"	-0.9	4
"05/02/2022 06:28"	0	4
"25/02/2022 10:07"	0	4
"09/03/2022 05:54"	-2.4	4
"27/04/2022 13:52"	-14.3	4
"08/06/2022 07:30"	-3.4	4
"30/08/2022 03:11"	-3.3	4
"18/10/2022 12:00"	0	4
"16/01/2023 05:03"	0	4
