"Date"	"Dh(cm)"	"id"
"23/03/2009 00:00"	0	5
"16/04/2009 00:00"	-1.5	5
"08/05/2009 00:00"	-3	5
"30/05/2009 00:00"	-5	5
"09/06/2009 00:00"	-5.7	5
"20/06/2009 00:00"	-5.7	5
"25/06/2009 00:00"	-5.5	5
"01/07/2009 00:00"	-5	5
"08/07/2009 00:00"	-4	5
"01/08/2009 00:00"	0	5
"22/03/2010 00:00"	0	5
"30/03/2010 00:00"	-1	5
"06/04/2010 00:00"	-2	5
"15/04/2010 00:00"	-4	5
"24/04/2010 00:00"	-7	5
"04/05/2010 00:00"	-9	5
"15/05/2010 00:00"	-10	5
"21/05/2010 00:00"	-10.3	5
"13/06/2010 00:00"	-10.5	5
"17/06/2010 00:00"	-9	5
"20/06/2010 00:00"	-6	5
"25/06/2010 00:00"	-2.5	5
"01/07/2010 00:00"	-1	5
"10/07/2010 00:00"	0	5
"20/04/2011 00:00"	0	5
"25/04/2011 13:00"	-0.3	5
"30/04/2011 13:00"	-0.7	5
"10/05/2011 09:00"	-1.8	5
"17/05/2011 21:00"	-3	5
"23/05/2011 02:00"	-3.7	5
"28/05/2011 05:00"	-4	5
"31/05/2011 14:00"	-4	5
"04/06/2011 00:00"	-3.9	5
"10/06/2011 00:00"	-3.3	5
"26/06/2011 00:00"	-1.9	5
"03/07/2011 12:37"	-1.6	5
"21/09/2011 02:54"	-0.9	5
"14/11/2011 04:00"	0	5
"08/04/2012 00:00"	0	5
"15/04/2012 00:00"	-2	5
"24/04/2012 00:00"	-4.5	5
"28/04/2012 00:00"	-5.5	5
"05/05/2012 00:00"	-6.5	5
"21/05/2012 00:00"	-7.5	5
"25/05/2012 00:00"	-11.5	5
"31/05/2012 00:00"	-14	5
"11/06/2012 07:38"	-14.7	5
"18/06/2012 20:50"	-13.2	5
"24/06/2012 09:00"	-10.8	5
"04/07/2012 05:37"	-6	5
"11/07/2012 14:33"	-3.7	5
"14/07/2012 21:26"	-2.9	5
"22/07/2012 17:02"	-2.2	5
"23/08/2012 12:12"	-1.3	5
"13/10/2012 17:46"	-1.4	5
"15/10/2012 18:48"	0	5
"15/05/2019 00:00"	0	5
"12/06/2019 11:30"	-3.5	5
"25/06/2019 09:05"	-4.4	5
"11/07/2019 11:00"	-3.4	5
"25/07/2019 10:40"	-3.2	5
"22/08/2019 07:51"	-3.2	5
"19/09/2019 08:40"	-1.2	5
"24/10/2019 08:12"	0	5
"01/04/2022 00:00"	0	5
"13/04/2022 13:03"	-7.5	5
"31/05/2022 11:49"	-14.1	5
"07/07/2022 10:56"	-12.7	5
"21/07/2022 10:08"	-4.9	5
"18/08/2022 10:20"	0	5
