"Date"	"Dh(cm)"
"01/04/1999 00:00"	0
"10/04/1999 00:00"	-0.05
"26/04/1999 00:00"	-0.17
"06/05/1999 00:00"	-0.3
"14/05/1999 00:00"	-0.5
"22/05/1999 00:00"	-0.7
"01/06/1999 00:00"	-0.8
"07/06/1999 00:00"	-0.85
"15/06/1999 00:00"	-0.8
"29/06/1999 10:00"	-0.65
"29/06/1999 16:00"	0
"15/03/2000 00:00"	0
"22/03/2000 00:00"	-0.2
"17/04/2000 00:00"	-1.2
"15/05/2000 00:00"	-2.2
"25/05/2000 00:00"	-2.4
"13/06/2000 00:00"	-2.5
"10/07/2000 00:00"	-2.1
"03/08/2000 00:00"	-1.8
"26/08/2000 00:00"	-1.5
"25/09/2000 09:00"	-0.7
"25/09/2000 23:00"	-0.3
"17/10/2000 00:00"	-0.1
"01/11/2000 00:00"	0
"23/01/2001 00:00"	0
"24/02/2001 00:00"	-0.4
"10/03/2001 00:00"	-0.5
"01/04/2001 00:00"	-0.6
"20/05/2001 00:00"	-0.6
"26/05/2001 00:00"	-0.7
"04/06/2001 00:00"	-1
"14/06/2001 00:00"	-1.5
"24/06/2001 00:00"	-1.8
"04/07/2001 00:00"	-1.95
"15/07/2001 00:00"	-2.05
"05/08/2001 00:00"	-2.05
"14/08/2001 00:00"	-2
"04/09/2001 15:00"	-1.8
"04/09/2001 17:00"	-1.3
"30/01/2002 00:00"	0
"17/03/2002 00:00"	0
"10/06/2002 00:00"	-1.45
"16/06/2002 00:00"	-1.5
"14/07/2002 00:00"	-1.5
"24/07/2002 00:00"	-1.4
"14/08/2002 00:00"	-1
"30/08/2002 00:00"	-0.8
"17/09/2002 00:00"	-0.65
"07/10/2002 00:00"	-0.6
"17/11/2002 00:00"	-0.6
"27/11/2002 00:00"	-0.5
"11/12/2002 00:00"	-0.1
"19/12/2002 00:00"	0
"18/03/2003 00:00"	0
"19/06/2003 00:00"	-1.5
"25/06/2003 15:00"	-1.55
"26/06/2003 06:00"	-1
"27/06/2003 12:00"	-0.8
"29/06/2003 00:00"	-0.7
"09/07/2003 00:00"	-0.5
"08/08/2003 00:00"	-0.2
"23/08/2003 00:00"	-0.1
"23/09/2003 00:00"	0
"20/04/2004 00:00"	0
"27/04/2004 00:00"	-0.1
"01/05/2004 00:00"	-0.2
"05/05/2004 00:00"	-0.35
"13/05/2004 00:00"	-0.8
"17/05/2004 00:00"	-0.9
"21/05/2004 00:00"	-0.9
"27/05/2004 00:00"	-0.8
"25/06/2004 00:00"	-0.3
"14/07/2004 00:00"	0
"24/03/2005 00:00"	0
"01/04/2005 00:00"	-0.05
"15/04/2005 00:00"	-0.2
"03/05/2005 00:00"	-0.4
"20/05/2005 00:00"	-0.58
"01/06/2005 00:00"	-0.68
"09/06/2005 00:00"	-0.74
"15/06/2005 00:00"	-0.75
"20/06/2005 00:00"	-0.75
"25/06/2005 00:00"	-0.7
"25/07/2005 14:00"	-0.27
"25/07/2005 16:30"	-0.17
"19/08/2005 00:00"	-0.13
"28/08/2005 00:00"	-0.1
"07/09/2005 00:00"	-0.04
"14/09/2005 00:00"	0
"10/05/2006 00:00"	0
"20/05/2006 00:00"	-0.25
"25/05/2006 00:00"	-0.3
"01/06/2006 00:00"	-0.25
"09/06/2006 00:00"	-0.1
"14/06/2006 00:00"	-0.05
"19/06/2006 00:00"	0
"22/03/2007 00:00"	0
"05/04/2007 00:00"	-0.1
"15/04/2007 00:00"	-0.15
"01/05/2007 00:00"	-0.18
"09/06/2007 00:00"	-0.18
"24/06/2007 00:00"	-0.2
"04/07/2007 00:00"	-0.24
"21/07/2007 00:00"	-0.35
"28/07/2007 00:00"	-0.38
"03/08/2007 00:00"	-0.35
"10/08/2007 00:00"	-0.25
"13/08/2007 00:00"	-0.2
"20/08/2007 00:00"	-0.15
"01/11/2007 00:00"	-0.15
"16/11/2007 00:00"	-0.13
"09/12/2007 00:00"	-0.07
"19/12/2007 00:00"	-0.04
"31/12/2007 00:00"	0
"25/02/2008 00:00"	0
"03/04/2008 00:00"	-0.35
"06/05/2008 00:00"	-1.05
"11/05/2008 00:00"	-1.1
"16/05/2008 00:00"	-1.12
"21/05/2008 00:00"	-1.13
"27/05/2008 18:00"	-1.15
"04/07/2008 06:00"	-1.2
"04/07/2008 18:00"	-0.9
"09/07/2008 00:00"	-0.7
"14/07/2008 00:00"	-0.5
"20/07/2008 00:00"	-0.3
"31/07/2008 23:59"	-0.1
"01/08/2008 00:00"	0
"13/03/2009 00:00"	0
"20/03/2009 00:00"	-0.05
"09/06/2009 00:00"	-0.87
"15/06/2009 00:00"	-0.9
"24/06/2009 00:00"	-0.9
"29/06/2009 00:00"	-0.65
"06/07/2009 00:00"	-0.34
"11/07/2009 00:00"	-0.28
"30/07/2009 00:00"	-0.14
"25/08/2009 00:00"	0
"29/08/2009 00:00"	0
"21/09/2009 00:00"	-0.13
"24/09/2009 00:00"	-0.15
"28/09/2009 00:00"	-0.15
"06/10/2009 00:00"	-0.1
"19/10/2009 00:00"	0
"23/03/2010 00:00"	0
"19/04/2010 00:00"	-0.4
"28/04/2010 00:00"	-0.5
"11/05/2010 00:00"	-0.54
"21/05/2010 00:00"	-0.54
"05/06/2010 00:00"	-0.5
"25/06/2010 00:00"	-0.4
"24/07/2010 00:00"	-0.2
"16/08/2010 00:00"	-0.05
"24/08/2010 17:00"	-0.05
"31/08/2010 00:00"	-0.4
"04/09/2010 16:00"	-0.5
"05/09/2010 06:00"	0
"07/09/2010 19:00"	0
"07/09/2010 20:30"	-0.3
"14/09/2010 00:00"	-0.3
"13/11/2010 00:00"	-0.65
"07/12/2010 21:00"	-0.65
"08/12/2010 04:00"	-0.35
"17/12/2010 00:00"	-0.25
"27/12/2010 00:00"	-0.2
