"Date"	"Dh(cm)"
"29/04/2014 08:20"	0
"03/06/2014 07:00"	-0.55
"25/06/2014 08:00"	-0.5
"18/07/2014 07:45"	-0.35
"21/08/2014 07:45"	0
"20/05/2015 07:25"	0
"25/06/2015 06:50"	-0.15
"01/07/2015 09:30"	-0.2
"23/07/2015 07:25"	-0.15
"04/08/2015 11:15"	-0.15
"15/09/2015 07:40"	0
"19/05/2016 14:10"	0
"05/07/2016 07:50"	-0.5
"22/07/2016 06:50"	-0.5
"03/08/2016 09:20"	-0.3
"13/09/2016 08:20"	-0.1
"02/11/2016 09:50"	0
"15/11/2016 00:00"	0
"11/05/2018 00:00"	0
"26/06/2018 06:55"	-0.55
"16/07/2018 07:20"	-0.5
"24/07/2018 10:20"	-0.35
"09/08/2018 00:00"	-0.3
"26/09/2018 09:30"	0
"05/10/2018 00:00"	0
"09/04/2019 09:00"	0
"21/05/2019 06:55"	-0.2
"18/06/2019 12:25"	-0.4
"04/07/2019 08:05"	-0.45
"25/07/2019 08:10"	-0.2
"06/08/2019 05:45"	-0.2
"03/09/2019 07:25"	0
"03/11/2020 20:20"	0
"17/11/2020 09:45"	-0.2
"10/12/2020 08:20"	-0.2
"04/01/2021 13:35"	-0.14
"09/02/2021 10:00"	-0.14
"05/03/2021 08:00"	-0.3
"18/03/2021 07:50"	-0.35
"21/04/2021 13:50"	-0.25
"15/06/2021 08:15"	-0.65
"08/07/2021 07:00"	-0.45
"27/07/2021 06:50"	-0.45
"31/08/2021 08:00"	-0.3
"27/10/2021 07:45"	-0.15
"15/12/2021 09:40"	-0.2
"26/12/2021 00:00"	0
"05/01/2022 13:15"	0
"14/01/2022 15:00"	0
"08/02/2022 07:50"	-0.2
"23/03/2022 14:10"	-0.2
"13/04/2022 06:40"	-0.35
"01/06/2022 06:55"	-0.6
"23/06/2022 07:20"	-0.5
"26/07/2022 08:35"	0
"31/12/2022 23:30"	0
