"Date"	"Dh(cm)"
"27/03/2008 00:00"	0
"01/04/2008 00:00"	-0.1
"06/04/2008 00:00"	-0.3
"11/04/2008 00:00"	-0.6
"23/04/2008 00:00"	-1.2
"03/05/2008 00:00"	-1.6
"06/05/2008 00:00"	-1.7
"10/05/2008 00:00"	-1.77
"15/05/2008 00:00"	-1.83
"21/05/2008 00:00"	-1.86
"27/05/2008 18:30"	-1.86
"27/05/2008 19:30"	-2.5
"28/05/2008 15:00"	-2.25
"31/05/2008 00:00"	-1.9
"08/06/2008 00:00"	-1.6
"22/06/2008 00:00"	-1.3
"04/08/2008 00:00"	-0.5
"17/08/2008 00:00"	-0.35
"01/09/2008 00:00"	-0.28
"20/11/2008 00:00"	-0.08
"15/12/2008 00:00"	0
"01/01/2009 00:00"	0
"16/04/2009 00:00"	-0.5
"26/04/2009 00:00"	-0.6
"01/05/2009 00:00"	-0.65
"06/05/2009 00:00"	-0.8
"14/05/2009 00:00"	-1.3
"21/05/2009 00:00"	-1.6
"01/06/2009 00:00"	-1.9
"08/06/2009 00:00"	-2
"18/06/2009 00:00"	-2
"26/06/2009 00:00"	-1.9
"07/07/2009 10:10"	-1.6
"06/08/2009 00:24"	-0.5
"11/08/2009 00:00"	-0.35
"27/08/2009 00:00"	-0.2
"20/09/2009 00:00"	0
"01/04/2010 00:00"	0
"27/05/2010 00:00"	-0.58
"05/06/2010 00:00"	-0.66
"15/06/2010 00:00"	-0.68
"23/06/2010 00:00"	-0.66
"29/06/2010 00:00"	-0.56
"03/07/2010 04:00"	-0.5
"03/07/2010 09:00"	-0.25
"09/07/2010 00:00"	-0.2
"26/07/2010 00:00"	-0.06
"12/08/2010 00:00"	0
"25/02/2011 00:00"	0
"14/03/2011 00:00"	-0.07
"03/04/2011 00:00"	-0.15
"28/04/2011 00:00"	-0.25
"17/05/2011 00:00"	-0.35
"05/06/2011 17:30"	-0.55
"05/06/2011 19:00"	-0.7
"17/06/2011 00:00"	-0.45
"25/06/2011 00:00"	-0.3
"04/07/2011 00:00"	-0.25
"10/07/2011 00:00"	-0.22
"22/08/2011 00:00"	-0.2
"08/09/2011 00:00"	-0.14
"08/10/2011 00:00"	0
"06/01/2012 00:00"	0
"17/01/2012 00:00"	-0.25
"20/01/2012 00:00"	-0.32
"24/01/2012 00:00"	-0.35
"27/02/2012 00:00"	-0.45
"19/03/2012 00:00"	-0.75
"28/03/2012 00:00"	-0.9
"19/04/2012 00:00"	-1.5
"30/04/2012 00:00"	-1.9
"12/05/2012 00:00"	-2.15
"01/06/2012 00:00"	-2.25
"10/06/2012 00:00"	-2.25
"16/06/2012 00:00"	-2.1
"26/06/2012 00:00"	-1.45
"05/07/2012 00:00"	-1.05
"15/07/2012 00:00"	-0.85
"30/07/2012 00:00"	-0.57
"03/08/2012 00:00"	-0.47
"10/08/2012 00:00"	-0.18
