"Date"	"Dh(cm)"
"02/04/2004 00:00"	0
"09/04/2004 00:00"	-0.05
"10/05/2004 00:00"	-0.4
"25/05/2004 00:00"	-0.55
"01/06/2004 00:00"	-0.6
"09/06/2004 00:00"	-0.65
"19/06/2004 00:00"	-0.65
"28/06/2004 00:00"	-0.62
"13/07/2004 00:00"	-0.5
"04/08/2004 00:00"	-0.3
"06/09/2004 00:00"	0
"04/06/2005 00:00"	0
"14/06/2005 00:00"	-0.04
"24/06/2005 00:00"	-0.1
"03/08/2005 00:00"	-0.37
"10/08/2005 00:00"	-0.42
"18/08/2005 00:00"	-0.44
"23/08/2005 00:00"	-0.45
"12/09/2005 00:00"	-0.45
"22/09/2005 00:00"	-0.4
"07/10/2005 00:00"	-0.3
"25/10/2005 00:00"	-0.2
"01/11/2005 00:00"	-0.17
"15/11/2005 00:00"	-0.15
"30/12/2005 00:00"	-0.15
"01/01/2006 00:00"	-0.14
"10/01/2006 00:00"	0
"17/06/2006 00:00"	0
"22/06/2006 00:00"	-0.04
"25/06/2006 00:00"	-0.1
"02/07/2006 00:00"	-0.25
"06/07/2006 00:00"	-0.35
"10/07/2006 00:00"	-0.42
"20/07/2006 00:00"	-0.48
"03/08/2006 00:00"	-0.52
"18/08/2006 00:00"	-0.55
"28/08/2006 00:00"	-0.55
"12/09/2006 00:00"	-0.43
"25/09/2006 00:00"	-0.2
"01/10/2006 00:00"	-0.13
"12/10/2006 00:00"	-0.05
"25/10/2006 00:00"	0
"25/04/2007 00:00"	0
"10/05/2007 00:00"	-0.05
"22/05/2007 00:00"	-0.13
"01/06/2007 00:00"	-0.22
"24/06/2007 00:00"	-0.5
"19/07/2007 00:00"	-0.8
"11/08/2007 00:00"	-1.05
"18/08/2007 00:00"	-1.1
"26/08/2007 00:00"	-1.1
"04/09/2007 00:00"	-1.1
"27/09/2007 00:00"	-0.8
"07/10/2007 00:00"	-0.72
"01/11/2007 00:00"	-0.65
"02/12/2007 00:00"	-0.58
"04/12/2007 00:00"	-1.2
"07/12/2007 00:00"	-0.7
"10/12/2007 00:00"	-1
"14/12/2007 00:00"	-0.25
"18/12/2007 00:00"	0
"20/05/2008 00:00"	0
"29/05/2008 13:00"	-0.15
"30/05/2008 18:00"	-3.5
"31/05/2008 17:00"	-3.9
"01/06/2008 00:00"	-3.9
"01/06/2008 06:00"	-3.5
"01/06/2008 18:00"	-0.15
"10/06/2008 00:00"	-0.38
"23/06/2008 00:00"	-0.7
"01/07/2008 00:00"	-0.8
"05/07/2008 00:00"	-0.83
"11/07/2008 00:00"	-0.83
"22/07/2008 00:00"	-0.75
"07/08/2008 00:00"	-0.55
"20/08/2008 00:00"	-0.43
"18/09/2008 00:00"	-0.3
"28/10/2008 00:00"	-0.2
"07/11/2008 00:00"	-0.15
"25/11/2008 00:00"	0
"22/04/2009 00:00"	0
"03/08/2009 00:00"	-0.6
"19/08/2009 00:00"	-0.7
"25/08/2009 00:00"	-0.7
"01/09/2009 00:00"	-0.65
"06/10/2009 00:00"	-0.25
"20/10/2009 00:00"	-0.1
"01/11/2009 00:00"	0
"29/03/2010 00:00"	0
"30/04/2010 00:00"	-0.15
"11/05/2010 00:00"	-0.19
"09/06/2010 00:00"	-0.24
"20/06/2010 00:00"	-0.3
"01/07/2010 00:00"	-0.4
"08/07/2010 00:00"	-0.45
"29/08/2010 00:00"	-0.45
"10/09/2010 00:00"	-0.4
"28/09/2010 00:00"	-0.25
"05/10/2010 00:00"	-0.2
"03/11/2010 00:00"	-0.1
"03/11/2010 00:01"	0
"01/04/2011 00:00"	0
"24/04/2011 01:07"	-0.1
"04/05/2011 01:59"	-0.15
"12/05/2011 21:39"	-0.17
"20/05/2011 15:45"	-0.17
"27/05/2011 22:58"	-0.16
"05/06/2011 04:01"	-0.15
"08/06/2011 12:16"	-0.16
"11/06/2011 16:58"	-0.18
"13/06/2011 20:03"	-0.21
"16/06/2011 21:01"	-0.26
"20/06/2011 12:36"	-0.3
"26/06/2011 10:55"	-0.34
"01/07/2011 18:39"	-0.36
"09/07/2011 12:46"	-0.37
"17/07/2011 21:28"	-0.36
"04/08/2011 16:04"	-0.33
"10/08/2011 00:00"	-0.33
"20/08/2011 00:00"	-0.4
"31/08/2011 00:00"	-0.47
"06/09/2011 00:00"	-0.48
"13/09/2011 00:00"	-0.47
"30/09/2011 00:00"	-0.38
"22/10/2011 00:00"	-0.25
"14/12/2011 00:00"	-0.05
"16/12/2011 00:00"	0
"09/04/2012 00:00"	0
"17/04/2012 00:00"	-0.15
"25/04/2012 00:00"	-0.35
"29/04/2012 00:00"	-0.45
"05/05/2012 00:00"	-0.5
"21/05/2012 00:00"	-0.57
"27/05/2012 00:00"	-0.65
"02/06/2012 00:00"	-0.75
"10/06/2012 00:00"	-0.9
"16/06/2012 23:40"	-0.97
"24/06/2012 21:24"	-0.92
"05/07/2012 11:05"	-0.69
"14/07/2012 04:34"	-0.48
"24/07/2012 17:55"	-0.38
"18/08/2012 06:17"	-0.38
"31/08/2012 22:34"	-0.53
"29/09/2012 21:06"	-0.32
"15/10/2012 20:32"	-0.25
"21/10/2012 23:37"	-0.12
"25/10/2012 04:22"	0
"01/06/2014 00:00"	0
"24/06/2014 00:00"	-0.38
"04/07/2014 00:00"	-0.45
"24/07/2014 00:00"	-0.5
"10/08/2014 00:00"	-0.45
"31/08/2014 00:00"	-0.35
"05/10/2014 00:00"	0
"24/03/2015 00:00"	0
"15/04/2015 10:13"	-0.22
"26/04/2015 00:11"	-0.25
"03/05/2015 05:00"	-0.25
"03/05/2015 18:00"	-1.2
"04/05/2015 14:00"	-1.45
"07/05/2015 00:00"	-1.45
"07/05/2015 05:00"	-1.2
"07/05/2015 07:00"	-0.25
"01/07/2015 00:00"	-0.25
"21/07/2015 00:00"	-0.4
"01/08/2015 00:00"	-0.4
"16/08/2015 00:00"	-0.3
"01/09/2015 00:00"	0
"01/06/2016 22:00"	0
"02/06/2016 16:30"	-2.73
"05/06/2016 12:00"	-2.73
