"Date"	"Dh(cm)"	"id"
"21/04/2009 00:00"	0	11
"29/04/2009 15:00"	-1.6	11
"24/06/2009 12:00"	-5	11
"01/07/2009 10:30"	-2.9	11
"21/07/2009 16:30"	-4.9	11
"09/09/2009 14:15"	-4.1	11
"28/09/2009 12:00"	0	11
"20/04/2010 00:00"	0	11
"14/05/2010 19:20"	-2.2	11
"27/05/2010 20:13"	-4.3	11
"15/06/2010 12:00"	-5.7	11
"01/07/2010 16:25"	-6	11
"20/07/2010 08:11"	-6.7	11
"03/08/2010 17:26"	-3	11
"17/08/2010 15:56"	-8.1	11
"07/09/2010 13:38"	-8.4	11
"28/09/2010 11:20"	-8.8	11
"10/10/2010 20:03"	-8.1	11
"22/10/2010 01:48"	-7	11
"05/11/2010 16:27"	-5.1	11
"17/11/2010 03:33"	-2.6	11
"29/11/2010 06:56"	0	11
"26/04/2011 06:11"	0	11
"18/05/2011 05:54"	-2.1	11
"09/06/2011 05:37"	-4.5	11
"25/06/2011 09:45"	-6.7	11
"06/07/2011 09:34"	-8.9	11
"21/07/2011 06:34"	-9.3	11
"05/08/2011 19:05"	-8.5	11
"30/08/2011 08:54"	-5.5	11
"09/09/2011 17:14"	-5.9	11
"14/09/2011 21:25"	-7.2	11
"20/09/2011 01:35"	-9.5	11
"27/09/2011 04:19"	-12.7	11
"04/10/2011 07:03"	-14	11
"17/10/2011 21:00"	-13.7	11
"24/10/2011 23:45"	-11.7	11
"26/10/2011 06:51"	-9.1	11
"22/11/2011 10:41"	-6.7	11
"04/12/2011 17:37"	-3.7	11
"18/12/2011 23:04"	0	11
"03/06/2012 16:58"	0	11
"26/06/2012 13:52"	-13.7	11
"04/07/2012 11:20"	-18.6	11
"11/07/2012 06:15"	-21.7	11
"17/07/2012 13:12"	-23.2	11
"24/07/2012 05:06"	-21.6	11
"01/08/2012 01:32"	-21	11
"10/08/2012 15:44"	-20.4	11
"20/08/2012 23:47"	-18.9	11
"28/08/2012 14:20"	-16.5	11
"16/09/2012 13:01"	-11.9	11
"05/10/2012 17:16"	-8.4	11
"23/10/2012 12:21"	-6.5	11
"07/11/2012 22:24"	-7.2	11
"20/11/2012 13:15"	-8.7	11
"08/12/2012 20:16"	-9.7	11
"21/12/2012 00:14"	-5.3	11
"31/12/2012 14:37"	0	11
"01/07/2013 04:18"	0	11
"23/07/2013 16:35"	-0.8	11
"01/08/2013 06:32"	-2.3	11
"07/08/2013 17:59"	-4.5	11
"13/08/2013 16:17"	-7.5	11
"20/08/2013 12:31"	-10.1	11
"01/09/2013 02:31"	-10.9	11
"14/09/2013 15:58"	-11.7	11
"25/09/2013 06:21"	-12.4	11
"10/10/2013 09:45"	-12.7	11
"27/10/2013 01:30"	-13.1	11
"08/11/2013 13:50"	-12.4	11
"19/11/2013 15:20"	-10.7	11
"08/12/2013 18:13"	-7	11
"25/12/2013 11:30"	-3.8	11
"08/01/2014 14:40"	-1.8	11
"19/01/2014 17:10"	0	11
"20/05/2014 16:55"	0	11
"31/05/2014 22:10"	-2.6	11
"10/06/2014 07:46"	-6	11
"17/06/2014 12:16"	-10.2	11
"25/06/2014 10:47"	-11.6	11
"04/07/2014 18:56"	-12.1	11
"13/07/2014 20:59"	-11.8	11
"22/07/2014 10:55"	-11.8	11
"01/08/2014 00:37"	-12.5	11
"08/08/2014 11:18"	-14	11
"15/08/2014 03:48"	-15.8	11
"21/08/2014 08:11"	-17.9	11
"26/08/2014 12:21"	-19	11
"28/08/2014 22:16"	-17.5	11
"31/08/2014 17:31"	-16	11
"06/09/2014 09:23"	-15	11
"14/09/2014 16:19"	-14	11
"01/10/2014 14:51"	-12	11
"21/10/2014 13:27"	-9.9	11
"01/11/2014 16:44"	-5.5	11
"05/11/2014 13:36"	0	11
"15/05/2015 08:27"	0	11
"19/05/2015 02:57"	-1.1	11
"23/05/2015 05:48"	-3.3	11
"26/05/2015 16:12"	-5.9	11
"05/06/2015 00:33"	-7	11
"10/06/2015 10:46"	-9	11
"15/06/2015 05:18"	-11.8	11
"26/06/2015 18:22"	-15.6	11
"07/07/2015 13:31"	-18.6	11
"16/07/2015 16:39"	-17.4	11
