"Date"	"Dh(cm)"	"id"
"02/05/2015 00:00"	0	13
"03/05/2015 10:56"	-3.9	13
"04/05/2015 06:20"	-11.6	13
"05/05/2015 03:53"	-23.7	13
"05/05/2015 13:35"	-26	13
"05/05/2015 18:58"	-23.2	13
"06/05/2015 03:03"	-11.8	13
"06/05/2015 14:54"	-4.2	13
"08/05/2015 00:50"	0	13
"26/05/2017 00:00"	0	13
"08/06/2017 08:30"	-11.1	13
"22/06/2017 08:00"	-14	13
"26/07/2017 08:45"	-14.1	13
"10/08/2017 08:40"	-12.4	13
"05/09/2017 09:33"	-12.7	13
"04/10/2017 10:33"	-11.2	13
"23/11/2017 10:00"	-11.2	13
"13/12/2017 08:15"	-8.5	13
"31/12/2017 00:00"	0	13
"08/06/2018 00:00"	0	13
"14/06/2018 08:05"	-4.3	13
"19/07/2018 08:30"	-18.7	13
"09/08/2018 09:00"	-20.3	13
"30/08/2018 07:45"	-20.6	13
"26/09/2018 08:30"	-18.6	13
"08/11/2018 09:00"	-17.3	13
"29/11/2018 09:55"	-16.9	13
"13/12/2018 09:30"	-14.8	13
"29/01/2019 09:15"	-6	13
"28/02/2019 09:20"	-8.8	13
"11/04/2019 10:50"	-14.8	13
"10/05/2019 08:00"	-24.7	13
"12/06/2019 12:15"	-33	13
"25/06/2019 07:30"	-32.4	13
"11/07/2019 07:00"	-31	13
"25/07/2019 07:25"	-26.7	13
"22/08/2019 09:30"	-22.5	13
"19/09/2019 07:50"	-19.4	13
"24/10/2019 09:30"	-15.7	13
"06/12/2019 08:50"	-8.2	13
"16/01/2020 10:21"	0	13
"14/05/2020 08:49"	0	13
"11/06/2020 09:30"	-8.3	13
"24/06/2020 08:00"	-11.3	13
"02/07/2020 09:20"	-12.3	13
"23/07/2020 08:06"	-17	13
"20/08/2020 09:56"	-21.3	13
"24/09/2020 08:15"	-17.6	13
"22/10/2020 07:45"	-7.7	13
"10/11/2020 09:15"	-6.4	13
"26/11/2020 10:00"	-6.4	13
"14/01/2021 09:00"	0	13
"01/04/2021 07:50"	0	13
"06/05/2021 08:30"	-9.6	13
"01/07/2021 09:40"	-23	13
"21/07/2021 08:55"	-20.1	13
"24/08/2021 09:30"	-25.4	13
"29/09/2021 08:00"	-25	13
"18/11/2021 09:39"	-27.1	13
"22/12/2021 10:00"	-17	13
"22/02/2022 01:29"	0	13
"01/04/2022 00:00"	0	13
"13/04/2022 10:52"	-17.3	13
"31/05/2022 09:55"	-37.8	13
"29/06/2022 16:00"	-37.8	13
"07/07/2022 09:26"	-23.8	13
"20/07/2022 14:40"	-29.2	13
"18/08/2022 08:55"	-28.4	13
"05/10/2022 10:04"	-15.8	13
"20/10/2022 09:06"	-7.3	13
"17/11/2022 23:20"	0	13
