"Date"	"Dh(cm)"	"id"
"18/04/2011 02:25"	0	14
"27/04/2011 12:38"	-0.6	14
"12/05/2011 09:28"	-2.7	14
"26/05/2011 18:42"	-4.8	14
"10/06/2011 13:07"	-6.5	14
"05/07/2011 09:41"	-9.3	14
"26/07/2011 11:26"	-7.7	14
"12/08/2011 15:18"	-6.3	14
"30/08/2011 09:31"	-2.6	14
"17/09/2011 22:41"	-0.7	14
"01/10/2011 01:41"	0	14
"02/06/2012 14:31"	0	14
"08/06/2012 06:05"	-2.1	14
"16/06/2012 20:03"	-5.6	14
"26/06/2012 07:52"	-10.5	14
"03/07/2012 13:52"	-15.7	14
"10/07/2012 06:22"	-18.9	14
"17/07/2012 08:31"	-20.7	14
"25/07/2012 20:09"	-21.2	14
"05/08/2012 11:32"	-16.6	14
"14/08/2012 19:38"	-11.3	14
"28/08/2012 12:33"	-5.4	14
"08/09/2012 02:39"	-3	14
"18/09/2012 01:53"	-1.3	14
"30/09/2012 19:45"	0	14
"18/06/2013 11:21"	0	14
"01/07/2013 02:12"	-2	14
"11/07/2013 19:36"	-5.1	14
"24/07/2013 10:27"	-10.7	14
"03/08/2013 22:02"	-13.2	14
"15/08/2013 03:33"	-14.3	14
"25/08/2013 08:51"	-14.9	14
"03/09/2013 16:48"	-14	14
"12/09/2013 12:39"	-11.2	14
"24/09/2013 09:22"	-7.3	14
"09/10/2013 20:21"	-3.1	14
"26/10/2013 18:07"	0	14
"20/05/2014 07:15"	0	14
"29/05/2014 17:37"	-1.4	14
"07/06/2014 20:18"	-4.1	14
"17/06/2014 09:04"	-7.5	14
"01/07/2014 06:37"	-8.4	14
"11/07/2014 08:53"	-8.6	14
"22/07/2014 06:59"	-9.1	14
"04/08/2014 02:36"	-8.4	14
"14/08/2014 09:06"	-7.4	14
"26/08/2014 08:40"	-6	14
"09/09/2014 13:39"	-5.5	14
"27/09/2014 17:07"	-5.3	14
"21/10/2014 09:55"	0	14
"07/05/2015 18:12"	0	14
"26/05/2015 14:50"	-3.6	14
"11/06/2015 08:48"	-5.6	14
"07/07/2015 10:08"	-8	14
"21/07/2015 14:15"	-7.9	14
"04/08/2015 09:50"	-7.8	14
"22/08/2015 12:01"	-7	14
"04/09/2015 23:40"	-5.7	14
"15/09/2015 07:57"	-3.8	14
"02/10/2015 13:40"	-3.1	14
"20/10/2015 12:10"	-2.8	14
"03/11/2015 11:27"	-2.5	14
"15/11/2015 13:03"	-1	14
"30/11/2015 11:11"	0	14
"25/07/2016 00:00"	0	14
"10/08/2016 00:00"	-4	14
"25/08/2016 11:10"	-9.9	14
"03/09/2016 12:20"	-9.4	14
"12/09/2016 13:27"	-6.7	14
"22/09/2016 00:14"	-2.3	14
"30/09/2016 15:42"	0	14
"21/03/2017 02:47"	0	14
"21/04/2017 22:26"	-1.7	14
"17/05/2017 10:24"	-3	14
"20/06/2017 13:08"	-11.1	14
"12/07/2017 11:35"	-9.7	14
"08/08/2017 09:24"	-12.6	14
"10/09/2017 11:12"	-6.9	14
"21/10/2017 16:36"	0	14
"14/06/2018 00:00"	0	14
"19/06/2018 00:35"	-3.4	14
"26/06/2018 13:13"	-9.8	14
"08/07/2018 07:41"	-8.9	14
"25/07/2018 11:54"	-8	14
"05/08/2018 16:30"	-9.2	14
"20/08/2018 17:43"	-10.1	14
"26/08/2018 03:28"	-9	14
"07/09/2018 02:31"	-4.2	14
"19/09/2018 01:41"	-0.7	14
"24/09/2018 16:01"	0	14
"25/04/2019 00:00"	0	14
"04/06/2019 11:00"	-2.8	14
"10/07/2019 00:00"	-7.5	14
"06/08/2019 10:24"	-6.3	14
"17/09/2019 10:06"	0	14
"30/05/2020 00:00"	0	14
"11/06/2020 09:30"	-8.5	14
"15/07/2020 10:00"	-9.5	14
"28/07/2020 09:29"	-10.7	14
"01/09/2020 11:00"	-5.7	14
"28/09/2020 00:00"	-5.7	14
"02/10/2020 02:00"	-5	14
"03/10/2020 18:00"	0	14
"19/07/2021 00:00"	0	14
"27/07/2021 00:00"	-12.6	14
"23/08/2021 11:00"	-14.3	14
"14/09/2021 18:00"	-14.2	14
"28/10/2021 00:00"	-2.2	14
"10/11/2021 00:00"	0	14
"15/02/2022 20:39"	0	14
"31/03/2022 00:47"	-0.9	14
"12/05/2022 19:19"	-6.9	14
"30/06/2022 08:30"	-14.7	14
"11/08/2022 09:16"	-9.8	14
"07/09/2022 09:15"	-9.1	14
"03/11/2022 09:20"	-0.8	14
"27/12/2022 10:00"	0	14
"01/01/2023 00:00"	0	14
