"Date"	"Dh(cm)"	"id"
"27/06/2006 11:35"	0	15
"04/07/2006 15:46"	-0.2	15
"18/07/2006 05:00"	-1.1	15
"01/08/2006 00:37"	-2	15
"16/08/2006 23:15"	-2.7	15
"27/08/2006 01:35"	-2.8	15
"12/09/2006 19:21"	-2.8	15
"23/09/2006 10:26"	-2.7	15
"01/10/2006 16:08"	-2.3	15
"16/10/2006 00:30"	-1.3	15
"23/10/2006 17:26"	-0.5	15
"31/10/2006 23:08"	0	15
"11/05/2007 21:24"	0	15
"22/05/2007 01:35"	-0.5	15
"30/05/2007 02:00"	-1.3	15
"11/06/2007 06:03"	-2.3	15
"20/06/2007 20:45"	-2.7	15
"06/07/2007 12:42"	-2.2	15
"24/07/2007 19:47"	-2.1	15
"11/08/2007 00:07"	-1.8	15
"26/08/2007 15:47"	-1.6	15
"11/09/2007 07:28"	-1.5	15
"24/09/2007 07:00"	-1.8	15
"04/10/2007 14:24"	-2.2	15
"11/10/2007 02:10"	-2.7	15
"19/10/2007 20:55"	-4.4	15
"26/10/2007 08:41"	-5	15
"01/11/2007 02:07"	-5.2	15
"06/11/2007 10:24"	-5.2	15
"12/11/2007 22:00"	-4.7	15
"17/11/2007 15:05"	-4.2	15
"23/11/2007 14:59"	-3.1	15
"28/11/2007 08:03"	-1.8	15
"03/12/2007 01:08"	-0.8	15
"06/12/2007 21:39"	-0.2	15
"12/12/2007 11:16"	0	15
"31/01/2008 20:25"	0	15
"06/02/2008 11:58"	-2	15
"13/02/2008 19:47"	-4.7	15
"11/03/2008 02:25"	-11.9	15
"02/04/2008 00:35"	-18.5	15
"14/04/2008 23:09"	-22.8	15
"20/04/2008 08:30"	-24.5	15
"26/04/2008 02:30"	-25	15
"04/05/2008 19:06"	-25.1	15
"18/05/2008 21:04"	-22.1	15
"26/05/2008 15:41"	0	15
"14/06/2008 13:15"	0	15
"01/07/2008 14:27"	-0.5	15
"10/07/2008 13:45"	-1.1	15
"24/07/2008 09:18"	-2.1	15
"06/08/2008 20:14"	-2.7	15
"14/08/2008 13:23"	-3.2	15
"22/08/2008 19:27"	-3.5	15
"29/08/2008 10:46"	-3.6	15
"03/09/2008 22:57"	-3.5	15
"26/09/2008 18:31"	-3	15
"15/10/2008 13:47"	-2.3	15
"06/11/2008 12:16"	-1.1	15
"15/11/2008 21:54"	-0.4	15
"23/11/2008 21:21"	0	15
