Date	No_jaugeage	h(cm)	Q(m3/s)	DHt(cm)	Mode	Inc_debit_valide_rel	Inc_debit_calcul_rel
22/10/1918 00:00	1	-21	17.7		AU		
22/11/1918 00:00	2	-10.5	26.4		AU		
09/09/1919 15:00	3	-37	5.13		AU		
18/09/1919 14:00	4	-30	5.97		AU		
15/03/1920 13:00	5	29	69.9		AU		
24/03/1920 14:00	6	34	74.1		AU		
19/04/1920 14:00	7	19	56.5		AU		
28/05/1920 14:30	8	-26.5	11.9		AU		
01/06/1920 14:00	9	-25	11.8		AU		
08/06/1920 14:00	10	-30	8.03		AU		
26/03/1924 00:00	11	51	91.4		AU		
01/08/1924 00:00	12	-30	8.21		AU		
20/05/1925 00:00	13	46.5	94.9		AU		
04/06/1925 12:30	14	14	52.8		AU		
30/06/1925 14:00	15	3.5	39.1		AU		
14/08/1925 00:00	16	-30	8.44		AU		
05/09/1925 00:00	17	-37	5.38		AU		
31/07/1926 16:00	18	-34.5	7.37		AU		
07/08/1926 11:00	19	-38.5	8.11		AU		
16/08/1926 00:00	20	-40	5.36		AU		
21/08/1926 00:00	21	-42	4.71		AU		
28/08/1926 07:30	22	-48	1.91		AU		
11/09/1926 08:50	23	-39	5.61		AU		
07/06/1927 00:00	24	-26	17.4		AU		
30/06/1927 00:00	26	-32	10.8		AU		
04/07/1927 00:00	25	-34	9.01		AU		
27/08/1927 00:00	27	2	50.4		AU		
29/08/1927 00:00	28	-10	32.1		AU		
05/09/1927 00:00	29	-19	25.1		AU		
08/12/1927 00:00	30	34.5	112		AU		
29/12/1927 00:00	31	29.5	101		AU		
05/01/1928 00:00	32	5	58		AU		
06/03/1928 00:00	33	27	90		AU		
20/04/1928 00:00	34	13	65.1		AU		
05/05/1928 00:00	35	38	118		AU		
04/08/1928 00:00	36	-46	2.61		AU		
13/09/1929 00:00	37	-43	3.65		AU		
31/10/1929 09:00	38	28	87.4		AU		
05/03/1930 00:00	39	69.5	177		AU		
19/04/1930 00:00	40	24	66.7		AU		
13/10/1930 00:00	41	-20	24.6		AU		
27/10/1930 00:00	42	5	51.8		AU		
30/04/1931 00:00	43	-35	6.84		AU		
21/08/1933 00:00	44	-43	3.23		AU		
22/05/1934 00:00	45	-19.5	18.3		AU		
13/08/1934 00:00	46	-44	6.56		AU		
03/09/1934 00:00	47	-33	12.9		AU		
10/09/1934 00:00	48	-44	5.31		AU		
18/04/1935 00:00	49	9	61.4		AU		
13/05/1935 00:00	50	11	65.5		AU		
11/06/1935 00:00	51	-15	28.3		AU		
02/06/1936 00:00	53	17	75		AU		
02/07/1936 00:00	54	-11	34.5		AU		
18/05/1937 00:00	55	-28	12.8		AU		
17/06/1937 15:00	56	-27	15.3		AU		
03/10/1938 13:45	57	11.5	57.3		AU		
14/12/1938 09:00	58	28	83.3		AU		
18/07/1939 07:00	59	-23	15.8		AU		
12/08/1939 14:00	60	-33	10.7		AU		
17/09/1940 09:00	61	-32.3	10.8		AU		
06/11/1940 13:00	62	-9.5	31.1		AU		
03/07/1941 13:30	63	-11.8	26.3		AU		
22/09/1941 16:15	64	-36.7	8.12		AU		
30/03/1942 13:50	65	14.7	69.6		AU		
01/07/1942 13:30	66	-49.5	7.23		AU		
11/07/1942 08:05	67	-38	12.3		AU		
14/09/1942 09:00	68	-56	3.47		AU		
20/07/1943 10:30	69	-51	3.2		AU		
04/10/1943 14:45	70	-27	18.4		AU		
22/05/1944 14:10	71	29	97.1		AU		
21/08/1946 13:10	72	-50	8.19		AU		
06/09/1946 16:15	73	7	66.7		AU		
22/03/1947 14:20	74	10.5	72		AU		
30/07/1947 15:00	75	-60	2.63		AU		
03/10/1947 14:50	76	-52.5	7.77		AU		
18/01/1949 13:45	77	-15	33.8		AU		
16/02/1949 13:40	78	-38.6	16.2		AU		
28/06/1949 14:00	79	-43	11.4		AU		
15/07/1949 07:15	80	-66	3.1		AU		
18/08/1949 07:15	81	-73	2.03		AU		
18/07/1950 14:40	82	-48	7.27		AU		
20/10/1950 13:40	83	-46.3	12		AU		
24/10/1950 08:30	84	-62	4.9		AU		
20/03/1951 09:00	85	50	126		AU		
02/11/1951 13:50	86	14	38		AU		
04/07/1952 08:00	88	-66	4.27		AU		
23/07/1952 16:45	89	-69	3.22		AU		
07/08/1952 08:40	89.1	-70	3.73		AU		
28/10/1952 17:30	90	-40	14		AU		
17/09/1953 07:40	91	-50.5	9.45		AU		
26/10/1953 14:35	92	-1.5	50.4		AU		
23/11/1953 00:00	93	-21.5	27		AU		
24/11/1953 00:00	94	-23.5	23.7		AU		
12/04/1954 00:00	94.1	13	68.2		AU		
17/05/1954 00:00	95	-22	25		AU		
01/06/1954 17:00	96	-25	22.7		AU		
08/06/1954 00:00	97	-25	22.8		AU		
03/09/1954 14:10	98	-35.8	15.4		AU		
12/05/1955 18:25	99	-54.5	5.4		AU		
07/09/1955 09:30	100	-52.5	6.98		AU		
03/09/1956 00:00	101	46	116		AU		
16/10/1956 00:00	102	-25	19.3		AU		
30/10/1956 00:00	103	-6	30.4		AU		
14/11/1956 00:00	104	-6	36.3		AU		
26/11/1956 00:00	105	-23	21.8		AU		
22/08/1957 00:00	106	-60	4.76		AU		
24/09/1957 00:00	107	-51	8.61		AU		
15/03/1958 00:00	108	-10	40		AU		
19/03/1958 00:00	109	16	72.7		AU		
09/06/1958 00:00	110	-45	12.3		AU		
13/06/1958 00:00	111	-35	17		AU		
27/06/1958 00:00	112	-45.5	10.8		AU		
19/12/1958 00:00	113	-16.5	29.8		AU		
09/04/1959 00:00	114	-26.5	24.9		AU		
07/08/1959 19:00	115	-57	5.73		AU		
21/08/1959 00:00	116	-60	5.78		AU		
25/03/1960 00:00	117	1000	47.5		AU		
25/05/1960 00:00	118	-37.5	13.4		AU		
01/07/1960 12:45	119	-36.5	12		AU		
22/07/1960 00:00	120	-38	13.8		AU		
26/01/1961 00:00	121	-14	31.4		AU		
24/03/1961 00:00	122	-34	18.8		AU		
20/06/1961 00:00	123	-46	15.8		AU		
25/07/1961 15:00	124	-46	9		AU		
07/08/1961 00:00	125	-56	5.5		AU		
