Date	No_jaugeage	h(cm)	Q(m3/s)	DHt(cm)	Mode	Inc_debit_valide_rel	Inc_debit_calcul_rel
01/09/1971 00:00	1	48	0.726		PP		
09/11/1971 00:00	2	29.5	0.6		PP		
22/03/1972 00:00	3	36	3.04		PP		
10/11/1972 00:00	4	31	1.23		PP		
19/02/1973 00:00	5	44	5.8		PP		
26/02/1973 00:00	6	80	12.7		PP		
21/01/1974 00:00	7	24	1.68		PP		
16/02/1977 00:00	8	109	18.5		SI		
03/03/1977 00:00	9	72	10.7		PP		
24/06/1977 00:00	10	128	23.7		SI		
21/07/1977 00:00	11	30.2	2.65		PP		
13/09/1977 00:00	12	35	3.3		PP		
14/10/1977 00:00	13	29	2.29		PP		
08/11/1977 00:00	14	28.2	2.11		PP		
06/12/1977 00:00	15	31	2.75		PP		
03/01/1978 00:00	16	50	6.05		PP		
30/01/1978 00:00	17	78.2	10.7		SI		
29/03/1978 00:00	18	90.5	14.7		SI		
23/05/1978 00:00	19	51	6.7		PP		
22/06/1978 00:00	20	18.7	1.72		PP		
17/07/1978 00:00	21	11	1		PP		
16/08/1978 00:00	22	9	0.84		PP		
12/09/1978 00:00	23	4	0.509		PP		
09/10/1978 00:00	24	0.2	0.357		PP		
07/11/1978 00:00	25	4	0.535		PP		
03/01/1979 00:00	26	18	1.63		PP		
29/01/1979 00:00	27	69.5	9.49		PP		
28/03/1979 00:00	28	162	29.9		SI		
23/04/1979 00:00	29	39	5.13		PP		
13/08/1979 00:00	30	8	0.798		PP		
08/10/1979 00:00	31	7	0.746		PP		
04/12/1979 00:00	32	28	2.82		PP		
25/03/1980 00:00	33	55	6.75		PP		
22/04/1980 00:00	34	28.5	2.89		PP		
12/08/1980 00:00	35	8	0.812		PP		
07/10/1980 00:00	36	3	0.491		PP		
27/01/1981 00:00	37	69	9.99		SI		
24/02/1981 00:00	38	28	3.45		PP		
15/06/1981 00:00	39	54	8.6		PP		
16/07/1981 00:00	40	26.5	3.07		PP		
11/08/1981 00:00	41	22	2.62		PP		
08/09/1981 00:00	42	5.5	1.02		PP		
06/10/1981 00:00	43	13.5	1.68		PP		
02/11/1981 00:00	44	142.2	21.8		SI		
01/12/1981 00:00	45	44.5	6.42		PP		
29/12/1981 00:00	46	89.5	14.4		PP		
23/02/1982 00:00	47	39.5	5.38		PP		
22/03/1982 00:00	48	58.5	9.2		PP		
20/04/1982 00:00	49	21.5	3.01		PP		
18/05/1982 00:00	50	13	2.02		PP		
15/06/1982 00:00	51	7	1.43		PP		
12/07/1982 00:00	52	-0.2	0.625		PP		
28/07/1982 00:00	53	3	0.435		PP		
10/08/1982 00:00	54	8	0.664		PP		
02/09/1982 00:00	55	0.2	0.429		PP		
05/10/1982 00:00	56	5.5	0.575		PP		
03/11/1982 00:00	57	8	1.3		PP		
26/11/1982 00:00	58	23.5	2.56		PP		
30/11/1982 00:00	59	21.7	2		PP		
28/12/1982 00:00	60	108	15.2		PP		
25/01/1983 00:00	61	34.5	4.5		PP		
18/04/1983 00:00	62	59	8.33		PP		
17/05/1983 00:00	63	71	10.1		PP		
14/06/1983 00:00	64	25	3.11		PP		
11/07/1983 00:00	65	8	1.36		PP		
09/08/1983 00:00	66	7	0.865		PP		
05/09/1983 00:00	67	27	2.24		PP		
16/11/1983 00:00	68	12	0.85		PP		
09/01/1984 00:00	69	31.2	2.51		PP		
06/02/1984 00:00	70	83.5	10.9		SI		
05/03/1984 00:00	71	29.7	3.58		PP		
03/04/1984 00:00	72	23.7	2.74		PP		
03/05/1984 00:00	73	8.7	1.14		PP		
29/05/1984 00:00	74	45.5	5.07		PP		
25/06/1984 00:00	75	17.2	1.82		PP		
25/07/1984 00:00	76	1.5	0.524		PP		
21/08/1984 00:00	77		0.463		PP		
18/09/1984 00:00	78	6	0.751		PP		
16/10/1984 00:00	79	25.8	2.46		PP		
09/11/1984 00:00	80	20	1.9		PP		
11/12/1984 00:00	81	45.5	5.33		PP		
