Date	No_jaugeage	h(cm)	Q(m3/s)	DHt(cm)	Mode	Inc_debit_valide_rel	Inc_debit_calcul_rel
25/09/1991 00:00	1	46.5	0.384		PP		
31/10/1991 00:00	2	53.5	0.755		PP		
12/03/1992 00:00	3	54	0.95		PP		
12/06/1992 00:00	4	55.5	0.733		PP		
27/08/1992 00:00	5	40.5	0.109		PP		
11/08/2003 13:25	6	46.4	0.368		PP		
25/08/2003 15:30	7	47.5	0.47		PP		
02/10/2003 15:50	8	48	0.56		PP		
06/11/2003 14:45	9	60.5	1.96		PP		
11/12/2003 15:45	10	70.1	3.71		PP		
19/01/2004 14:00	11	244	57		SI		
25/02/2004 15:20	12	130.5	17		SI		
29/03/2004 15:35	13	75.5	4.82		PP		
29/04/2004 16:20	14	71.8	3.53	-2.8	PP		
03/06/2004 15:40	15	66.7	1.96	-6.2	PP		
30/06/2004 16:05	16	57.4	0.782	-6	PP		
04/08/2004 14:55	17	50.5	0.476	-2.9	PP		
19/08/2004 14:10	18	59.9	1.54	-1.6	PP		
06/09/2004 14:40	19	52.7	0.933		PP		
12/10/2004 15:00	20	55.2	1.27		PP		
01/12/2004 15:15	21	58.5	1.65		PP		
06/01/2005 14:40	22	65.1	2.75		PP		
15/02/2005 15:40	23	85.3	6.83		PP		
23/03/2005 16:15	24	67	3.04		PP		
20/04/2005 14:45	25	66.5	2.99		QD		
20/04/2005 15:15	26	66.5	2.72		PP		
24/05/2005 16:05	27	57.3	1.42		AP		
28/06/2005 15:55	28	50.5	0.602	-1.3	PP		
02/08/2005 14:30	29	55	0.782	-3.7	PP		
29/08/2005 15:20	30	53.1	0.55	-4.5	PP		
06/10/2005 14:40	31	52.3	0.6	-3	AP		
15/11/2005 16:00	32	55	0.988	-1.5	PP		
15/12/2005 15:00	33	55.9	1.02	-1.5	AP		
24/01/2006 15:05	34	64.3	2.52		PP		
28/02/2006 14:40	35	75.3	5.22		AP		
30/03/2006 15:18	36	90.3	9.23		AP		
05/05/2006 15:00	37	67.3	3.05		PP		
09/06/2006 14:30	38	56.9	1.37		PP		
21/07/2006 14:30	39	52	0.448	-4.8	PP		
24/08/2006 14:30	40	54.3	0.553	-5.5	PP		
28/09/2006 14:30	41	57.9	1.28	-1.6	QD		
09/11/2006 15:30	42	63.2	2.37		AP		
11/12/2006 15:25	43	158	24.4		AP		
23/01/2007 14:55	44	82.2	6.75		QD		
26/02/2007 14:55	45	116.5	16.4		AP		
05/04/2007 14:25	46	79.8	6.24		AP		
22/05/2007 11:45	47	66.5	2.71	-1.3	QD		
18/06/2007 14:25	48	69	2.59	-4.3	QD		
18/07/2007 15:25	49	62.5	1.11	-8	AP		
