Date	No_jaugeage	h(cm)	Q(m3/s)	DHt(cm)	Mode	Inc_debit_valide_rel	Inc_debit_calcul_rel
25/11/1981 08:30	1	36	3.45		PP		
28/04/1982 09:30	2	43	4.9		PP		
16/06/1982 08:20	3	35	3.48		PP		
21/07/1982 13:45	4	40	4.09		PP		
01/09/1982 08:00	5	35	2.79		PP		
22/09/1982 15:15	6	34	2.61		PP		
21/06/1983 13:25	7	78	6.35		PP		
19/07/1983 17:15	8	74	8.03		PP		
13/09/1983 14:55	9	51	3.39		PP		
04/10/1983 15:10	10	74	11		PP		
22/11/1983 15:35	11	55	3.69		PP		
13/06/1984 17:35	12	77.7	11.2		PP		
25/07/1984 08:45	13	74	11.1		PP		
28/08/1984 14:10	14	66	6.77		PP		
02/10/1984 15:55	15	53	3.35		PP		
24/07/1985 17:20	16	71.5	11.3		PP		
28/08/1985 11:40	17	73	9.76		PP		
25/09/1985 08:20	18	60	5.55		PP		
22/10/1985 14:10	19	73	9.64		PP		
26/03/1986 00:00	20	108	25		AU		
18/06/1986 15:30	21	52	3.08		PP		
23/07/1986 16:24	22	62	4.83		PP		
27/08/1986 08:00	23	69	8.31		PP		
17/09/1986 12:20	24	62.5	6.96		PP		
08/10/1986 13:35	25	69	7.86		PP		
31/03/1987 16:00	26	65	6.71		PP		
13/05/1987 16:00	27	63	6.33		PP		
30/06/1987 13:45	28	48	1.89		PP		
05/08/1987 07:10	29	55	3.54		PP		
15/09/1987 14:45	30	72	9.06		PP		
07/06/1988 14:45	31	70	7.5		PP		
22/06/1988 07:40	32	61	5.3		PP		
19/07/1988 07:15	33	61	5		PP		
14/09/1988 09:00	34	64.5	6.48		PP		
09/11/1988 07:45	35	55	3.85		PP		
21/02/1989 13:45	36	48	2.43		PP		
18/05/1989 06:45	37	68	7.45		PP		
13/06/1989 12:30	38	51	2.78		PP		
25/07/1989 09:30	39	81	12.3		PP		
05/09/1989 12:40	40	74	9.99		PP		
08/11/1989 13:45	41	48	3		PP		
10/04/1990 13:45	42	53	3.6		PP		
22/05/1990 12:30	43	67	6.7		PP		
18/07/1990 14:40	44	45.5	2.24		PP		
18/09/1990 12:30	45	66	6.78		PP		
10/10/1990 09:00	46	63	6		PP		
22/11/1990 09:35	47	61	5.71		PP		
08/03/1991 00:00	47.1	242	244		AU		
17/04/1991 13:00	48	66	5.8		PP		
11/06/1991 16:20	49	50	2.35		PP		
27/08/1991 15:05	50	75	8.18		PP		
18/09/1991 13:10	51	74.5	8.89		PP		
22/10/1991 13:00	52	66	5.45		PP		
06/11/1991 11:50	53	65	5.09		PP		
03/12/1991 15:30	54	60	4.46		PP		
18/03/1992 14:10	55	60	3.73		PP		
15/04/1992 07:30	56	77	8.66		PP		
13/05/1992 14:30	57	65	4.42		PP		
19/08/1992 15:45	58	67	5.94		PP		
21/01/1993 08:30	59	65	4.33		PP		
10/02/1993 08:15	60	63	4.43		PP		
08/04/1993 07:00	61	60.5	3.5		PP		
25/05/1993 07:30	62	106	23		PP		
23/06/1993 12:45	63	73	5.32		PP		
12/08/1993 09:20	64	52.5	2.28		PP		
21/09/1993 13:30	65	65	5.95		PP		
02/12/1993 14:30	66	74	7.8		PP		
29/03/1994 11:35	67	79	9.84		PP		
07/06/1994 07:30	68	77	7.39		PP		
07/07/1994 09:00	69	73	6.17		PP		
30/08/1994 12:20	70	79	9.93		PP		
14/09/1994 09:30	71	62	3.59		PP		
22/02/1995 13:25	72	80	11.2		PP		
21/03/1995 13:20	73	61	5.5		PP		
24/08/1995 13:30	74	74	7.81		PP		
06/09/1995 11:30	75	77	8.37		PP		
30/05/1996 07:10	76	81	10.6		PP		
11/07/1996 10:15	77	62	3.88		PP		
08/08/1996 08:50	78	74	8.8		PP		
05/03/1997 13:10	79	67	5.33		PP		
01/04/1997 13:30	80	57	3.09		PP		
05/05/1997 16:00	81	74	7.17		PP		
26/05/1997 14:00	82	60	3.46		PP		
25/06/1997 10:10	83	71	6.49		PP		
09/12/1997 10:35	84	72	6.93		PP		
12/02/1998 10:15	85	71.5	6.71		PP		
19/03/1998 12:15	86	65	4.42		PP		
15/06/1998 14:20	87	78	8.8		PP		
30/06/1998 10:45	88	67	4.12		PP		
26/08/1998 09:00	89	81	9.97		PP		
15/10/1998 09:50	90	56	3.1		PP		
30/11/1998 14:00	91	58	3.26		PP		
17/12/1998 09:45	92	51	2.16		PP		
09/03/1999 13:20	93	78	9.24		PP		
13/04/1999 09:45	94	62.5	4.32		PP		
19/10/1999 11:30	95	71	6.39		PP		
09/12/1999 13:30	96	76	8.41		PP		
11/01/2000 15:00	97	75	8.06		PP		
07/03/2000 13:45	98	65	4.33		PP		
26/09/2000 14:00	99	76	7.94		PP		
25/06/2001 15:25	100	59	3.74		PP		
15/11/2001 16:45	101	62.5	4.88		PP		
05/12/2001 09:00	102	56.5	4.45		PP		
05/03/2002 10:00	103	75	8.95		PP		
18/07/2002 11:45	104	60	5.27		PP		
28/10/2002 14:45	105	73	8.27		PP		
04/03/2003 16:20	106	92.5	14.1		PP		
20/03/2003 14:00	107	82.5	10		PP		
27/05/2003 10:05	108	72.5	8.25		PP		
02/06/2003 09:45	109	67	6.01		PP		
13/02/2004 10:00	110	60	5.17		PP		
09/03/2004 11:40	111	58	5.8		PP		
31/03/2004 15:00	112	144	44.6		QD		
21/04/2004 10:45	113	63	6.72		PP		
23/06/2004 10:00	114	53	4.76		PP		
12/10/2004 11:15	115	53.5	4.35		PP		
11/01/2005 14:20	116	57	4.67		PP		
16/05/2005 14:15	117	70	8.29		QD		
07/06/2005 14:00	118	97	17		AP		
24/08/2005 11:00	119	54.5	3.66		QD		
30/08/2005 14:30	120	51	3.17		QD		
