Date	No_jaugeage	h(cm)	Q(m3/s)	DHt(cm)	Mode	Inc_debit_valide_rel	Inc_debit_calcul_rel
28/10/1969 14:40	1	27.5	1.9		AU		
25/11/1969 10:00	2	114	24.1		AU		
14/01/1970 15:50	3	140.5	35.9		AU		
04/02/1970 14:00	4	273.5	85.8		AU		
25/02/1970 17:20	5	306	139		AU		
18/03/1970 16:45	6	150.5	42		AU		
24/04/1970 08:30	7	125.5	27.8		AU		
29/05/1970 14:00	8	56	6.43		AU		
23/06/1970 17:55	9	34.5	2.8		AU		
28/07/1970 17:00	10	29	2		AU		
26/08/1970 13:45	11	28	2.4		AU		
30/09/1970 09:35	12	22.7	1.72		AU		
27/10/1970 16:00	13	39	4		AU		
24/11/1970 16:40	14	106	20.1		AU		
25/02/1971 10:00	15	80	12.5		AU		
24/03/1971 17:00	16	91.5	16.3		AU		
27/04/1971 15:00	17	42	5.25		AU		
08/11/1971 11:25	18	26	2.67		AU		
22/12/1971 11:10	19	43	5.16		AU		
27/01/1972 13:20	20	155	36		AU		
26/04/1972 12:10	21	55	6.94		AU		
24/05/1972 10:40	22	36.5	3.87		AU		
21/06/1972 18:30	23	28	2.52		AU		
17/07/1972 13:50	24	19	1.65		AU		
10/10/1972 14:15	25	13	1.2		AU		
30/01/1973 15:45	26	160	39.9		AU		
27/03/1973 10:40	27	45	5.53		AU		
21/08/1973 14:10	28	15	1.35		AU		
23/10/1973 11:25	29	30	3.26		AU		
19/03/1974 14:05	30	255	76.9		AU		
18/04/1974 11:35	31	33.5	3.99		AU		
07/08/1974 14:00	32	20	1.87		AU		
03/10/1974 10:50	33	50	5.7		AU		
27/11/1974 11:30	34	244	66.4		AU		
25/02/1975 16:00	35	62	8.21		AU		
22/04/1975 16:45	36	104	20.6		AU		
17/06/1975 12:50	37	54.5	7.64		AU		
12/08/1975 10:50	38	23	2.53		AU		
08/10/1975 10:20	39	35.5	4.47		AU		
03/12/1975 14:15	40	260	89.5		AU		
23/03/1976 13:30	41	38	4.46		AU		
18/05/1976 14:00	42	18	2.1		AU		
15/06/1976 16:30	43	7	0.826		AU		
16/07/1976 10:45	44	6	0.549		AU		
06/09/1976 20:45	45	14.5	1.57		AU		
13/04/1977 17:45	46	128	29.7		AU		
08/06/1977 11:00	47	81.5	16.1		AU		
12/07/1977 16:30	48	81	14.2		AU		
04/08/1977 11:30	49	44	4.99		AU		
30/08/1977 10:35	50	128	34.6		AU		
28/09/1977 10:55	51	37	3.93		AU		
23/11/1977 15:00	52	118	29.3		AU		
22/02/1978 18:50	53	232	83		AU		
14/03/1978 10:00	54	84	14.5		AU		
10/05/1978 16:10	55	85	19		AU		
06/09/1978 09:10	56	8.5	1.02		AU		
02/11/1978 10:00	57	14.5	1.56		AU		
27/12/1978 14:45	58	34	4.12		AU		
27/02/1979 11:15	59	80.5	11.8		AU		
28/03/1979 08:15	60	295	134		AU		
04/07/1979 16:35	61	30	3.71		AU		
01/08/1979 15:45	62	14	1.7		AU		
07/09/1979 10:00	63	18.5	2.42		AU		
26/09/1979 11:20	64	17.5	2.02		AU		
13/11/1979 11:30	65	263	86.2		AU		
06/02/1980 13:00	66	297	152		AU		
29/07/1980 17:30	67	40	5.33		AU		
11/03/1981 15:50	68	125	32.9		AU		
15/06/1982 15:00	69	60	8.55		AU		
21/06/1982 11:20	70	0.5	0.493		AU		
02/03/1983 11:00	71	249	77.1		AU		
17/08/1983 14:45	72	14.5	1.7		AU		
21/09/1983 15:30	73	50	6.25		AU		
11/04/1984 10:20	74	59	11.6		AU		
17/07/1984 17:05	75	18.5	1.88		AU		
29/08/1984 11:30	76	17	2.13		AU		
04/10/1984 10:20	77	125.7	27.8		AU		
13/12/1984 11:00	78	73	18		AU		
20/02/1985 14:45	79	124	27.5		AU		
21/05/1985 10:30	80	114	22		AU		
06/08/1985 11:08	81	33	1.97		AU		
12/09/1985 15:00	82	12	1.19		AU		
09/10/1985 16:00	83	11.5	1.32		AU		
05/12/1985 12:00	84	16.5	2.73		AU		
02/04/1986 11:00	85	259	86.3		AU		
08/04/1986 10:55	86	286	110		AU		
09/07/1986 11:00	87	25	3.28		AU		
10/09/1986 11:35	88	10	1.12		AU		
05/11/1986 13:40	89	47	9.47		AU		
17/12/1986 15:45	90	78	18.3		AU		
18/02/1987 11:10	91	140	37.8		AU		
24/03/1987 15:00	92	59	12.6		AU		
04/05/1987 11:00	93	36	5		AU		
17/06/1987 14:45	94	176	52.5		AU		
06/10/1987 14:40	95	36	4.51		AU		
10/12/1987 10:15	96	72	16		AU		
26/01/1988 17:40	97	304	143		AU		
15/03/1988 15:20	98	70	8.96		AU		
27/04/1988 12:00	99	56	8.2		AU		
17/05/1988 09:55	100	124	27.6		AU		
15/06/1988 14:45	101	44	6.03		AU		
26/07/1988 15:15	102	41.5	6.32		AU		
31/08/1988 14:50	103	12	0.93		AU		
13/09/1988 15:00	104	9.5	1.08		AU		
22/11/1988 14:45	105	33	3.52		AU		
01/03/1989 10:45	106	173	45.6		AU		
04/04/1989 11:30	107	188	53.6		AU		
31/05/1989 15:15	108	36.5	3.45		AU		
04/07/1989 17:45	109	23	2.27		AU		
08/08/1989 11:00	110	14	1.36		AU		
30/08/1989 09:45	111	10	0.825		AU		
26/09/1989 11:30	112	18	1.65		AU		
07/11/1989 11:15	113	53	8.8		AU		
17/01/1990 17:10	114	32	4.04		AU		
15/02/1990 14:40	115	324	215		AU		
24/04/1990 15:20	116	167.5	47.5		AU		
06/06/1990 11:15	117	37	3.52		AU		
25/07/1990 15:42	118	17	1.35		AU		
14/08/1990 12:45	119	9.5	0.888		AU		
21/09/1990 11:25	120	7.5	0.887		AU		
04/10/1990 14:00	121	35.5	4.04		AU		
20/11/1990 12:30	122	157	43.4		AU		
04/12/1990 16:00	123	61	10.8		AU		
27/03/1991 14:30	124	60	14.5		AU		
17/04/1991 14:40	125	30	3.32		AU		
30/05/1991 11:00	126	25	2.29		AU		
20/06/1991 09:00	127	27	2.3		AU		
24/07/1991 10:00	128	7	0.75		AU		
21/08/1991 11:10	129	5	0.577		AU		
05/09/1991 14:30	130	0	0.424		AU		
01/10/1991 15:00	131	23	2.32		AU		
14/11/1991 11:00	132	232	61.7		AU		
10/03/1992 11:50	133	44	6.31		AU		
22/04/1992 18:35	134	61	6.44		AU		
12/05/1993 19:40	135	41.5	5		AU		
30/06/1993 10:30	136	45	4.8		AU		
27/07/1993 16:45	137	29	1.76		AU		
10/08/1993 15:40	138	19.5	1.16		AU		
14/09/1993 20:00	139	31	3.51		AU		
15/10/1993 17:45	140	275	86.9		AU		
06/01/1994 17:20	141	297	129		AU		
01/03/1994 11:45	142	145	36.6		AU		
20/04/1994 10:45	143	87	16.1		AU		
01/06/1994 17:10	144	71	14.8		AU		
26/07/1994 10:30	145	28	3.33		AU		
24/08/1994 09:30	146	27	3.08		AU		
08/12/1994 10:45	147	60	10.9		AU		
21/02/1995 15:35	148	171	43.2		AU		
30/03/1995 14:15	149	188	57		AU		
11/05/1995 10:30	150	54	7.91		AU		
21/06/1995 11:30	151	35	4.4		AU		
21/07/1995 14:00	152	20	1.09		AU		
26/09/1995 00:00	153	0	0.365		AU		
12/12/1995 10:30	154	37	5.47		AU		
07/02/1996 11:10	155	73	17.5		AU		
02/04/1996 00:00	156	40	5.74		AU		
26/06/1996 00:00	157	21	2.28		AU		
16/07/1996 15:20	158	17.5	0.987		AU		
21/08/1996 16:30	159	9.5	1.1		AU		
10/10/1996 14:10	160	11	1.28		AU		
19/02/1997 14:30	161	159	42.3		AU		
08/04/1997 14:30	162	28	3.35		AU		
13/05/1997 11:15	163	69.5	11.9		AU		
22/07/1997 11:30	164	22	2.28		AU		
20/08/1997 11:50	165	17	1.7		AU		
24/09/1997 17:30	166	13.5	1.62		PP		
14/01/1998 14:30	167	93	13.8		SI		
24/03/1998 14:45	168	45	8.26		SI		
28/04/1998 11:30	169	358	303		SI		
04/08/1998 15:35	170	27.5	2.11		PP		
23/09/1998 14:45	171	20	2.12		AU		
20/01/1999 14:00	172	137	34.1		SI		
21/02/1999 16:30	173	340	283		SI		
30/03/1999 14:00	174	82	15.9		AU		
27/04/1999 14:30	175	75	20.8		SP		
27/07/1999 15:45	176	20	1.42		PP		
15/09/1999 14:00	177	15	1.83		AU		
13/10/1999 12:30	178	20	2.38		AU		
24/11/1999 11:05	179	39.5	6.19		SI		
22/02/2000 15:45	180	163	40.2		AU		
28/03/2000 15:30	181	75.5	14.2		AU		
14/03/2001 18:00	182	289	124		AU		
15/05/2001 11:30	183	124	28.1		AU		
19/07/2001 10:15	184	57.5	7.85		SI		
26/09/2001 14:15	185	40.5	3.71		SI		
06/11/2001 11:00	186	37.5	5.73		SI		
12/03/2002 11:30	187	70	13		AU		
11/09/2002 12:00	188	22	2.26		PP		
13/03/2003 12:00	189	60	11		QD		
02/04/2003 15:00	190	38	6.63		AU		
26/08/2003 11:30	191	12.5	0.761		PP		
07/10/2003 14:30	192	19	2.8		SI		
25/11/2003 15:00	193	35	5.7		SI		
15/01/2004 01:00	194	326	208		SI		
03/03/2004 14:15	195	42	7.63		SI		
15/06/2004 12:00	196	21	3.3		QD		
07/09/2004 10:00	197	21	1.98		PP		
09/12/2004 11:30	198	54	10.6		SI		
25/01/2005 10:15	199	284.5	102		SI		
12/07/2005 17:00	200	30.5	1.78		PP		
29/09/2005 13:30	201	14.5	1.34		QD		
24/01/2006 09:45	202	74.5	15.4		AP		
02/03/2006 10:45	203	78.5	15.3		AP		
18/07/2006 16:30	204	19	0.928		AP		
30/08/2006 14:40	205	45	5.13		AP		
22/11/2006 14:30	206	212	61.2		AU		
20/02/2007 16:30	207	122.5	28.3		AP		
13/03/2007 10:50	208	86	16.7		SI		
06/06/2007 11:20	209	89	17.8		AP		
26/06/2007 15:00	210	80	10.7		AP		
02/08/2007 15:00	211	52.5	5.25		AP		
08/11/2007 12:00	212	29	3.11		AP		
05/12/2007 13:15	213	126.4	27.8		AP		
13/02/2008 15:50	214	63.5	10.9		AP		
09/04/2008 14:30	215	100.5	19.8		AP		
18/06/2008 16:00	216	63.5	10.6		AP		
17/08/2008 14:30	217	41	3.5		AP		
26/08/2008 15:45	218	43.5	4.09		AP		
14/10/2008 08:00	219	31.5	3.14		AP		
15/01/2009 13:50	220	40.8	6.19		AP		
18/02/2009 10:40	221	80.5	16.4		AP		
27/05/2009 09:45	222	35.5	4.11		AP		
24/06/2009 14:45	223	37	2.79		AP		
01/07/2009 14:10	224	45	3.75		AP		
23/07/2009 09:30	225	71	10.2		AP		
10/09/2009 12:50	226	32	2.64		AP		
14/10/2009 15:05	227	23.5	2.25		AP		
09/12/2009 10:50	228	125	29.8		AP		
23/02/2010 09:05	229	127	29.4		AP		
26/02/2010 18:15	230	308	157		AP		
17/03/2010 10:15	231	55	9.82		AP		
24/03/2010 09:30	232	47.5	7.73		AP		
24/03/2010 09:35	233	47.5	7.91		AP		
21/04/2010 09:00	234	44.9	6.98		AP		
16/06/2010 15:10	235	46.5	6.22		AP		
21/07/2010 08:00	236	32.5	1.86		AP		
18/08/2010 11:00	237	35	1.63		AP		
29/09/2010 13:05	238	43	6.12		AP		
08/12/2010 09:45	239	328.5	217		AP		
11/01/2011 08:45	240	268.4	87		SI		
02/03/2011 09:40	241	68	12.7		AP		
27/04/2011 12:45	242	26	3.03	-0.6	AP		
10/06/2011 10:15	243	24.3	1.68	-6.5	AP		
05/07/2011 09:00	244	22.5	1.19	-9.3	AP		
26/07/2011 08:45	245	35	3.1	-7.7	AP		
30/08/2011 09:30	246	34	3.84	-2.6	AP		
04/10/2011 09:00	247	15.2	1.34		AP		
22/11/2011 10:00	248	23	2.7		AP		
05/01/2012 11:35	249	286	108		AP		
31/01/2012 10:00	250	100.9	22.7		AP		
13/03/2012 08:30	251	50.2	8.99		AP		
10/04/2012 08:30	252	31.8	4.23		AP		
23/05/2012 16:40	254	276	80.9		AP		
23/05/2012 16:50	253	276	83.5		AP		
26/06/2012 08:10	254	52.8	6.32	-10.5	AP		
17/07/2012 09:05	255	58.7	5.26	-20.7	AP		
28/08/2012 10:00	256	23.5	1.73	-5.4	AP		
23/10/2012 08:25	257	35	5.1		AP		
20/11/2012 10:00	258	40	6.16		AP		
08/01/2013 09:20	259	108.1	24.1		AP		
19/02/2013 10:15	260	131.5	31.1		AP		
23/04/2013 09:30	261	65.5	12.5		AP		
18/06/2013 12:00	262	71	14		AP		
24/07/2013 10:00	263	38	3.1	-10.7	AP		
24/09/2013 09:15	264	31	2.52	-7.3	AP		
19/11/2013 09:15	265	90	19.8		AP		
21/01/2014 15:10	266	275	87.4		AP		
11/03/2014 10:40	267	82	17.2		AP		
05/05/2014 09:00	268	36	4.76		AP		
17/06/2014 08:50	269	23	1.42	-7.5	AP		
22/07/2014 07:15	270	79.5	13.8	-9.1	AP		
26/08/2014 09:00	271	36.2	3.6	-6	AP		
21/10/2014 09:50	272	57.8	10.5		AP		
12/11/2014 13:30	273	76	15.5		AP		
16/12/2014 10:00	274	68.2	13.3		AP		
20/01/2015 09:30	275	128	29.8		AP		
24/02/2015 10:05	276	171	45		AP		
24/03/2015 09:15	277	54	9.6		AP		
26/05/2015 13:03	278	43	5.59	-3.6	AP		
07/07/2015 08:35	279	23	1.37	-8	AP		
04/08/2015 09:05	280	20	1.08	-7.8	AP		
15/09/2015 09:00	281	26	2.28	-3.8	AP		
03/11/2015 09:50	282	21	1.78	-2.5	AP		
08/12/2015 10:15	283	35.2	4.83		AP		
02/02/2016 09:47	284	280.5	94.5		AP		
15/02/2016 12:25	285	318	164		AP		
22/03/2016 10:10	286	62.5	11.7		AP		
31/05/2016 09:12	287	255.5	82		AP		
19/07/2016 09:30	288	32	4.1		AP		
25/08/2016 11:00	289	27	1.6	-9.9	AP		
05/10/2016 09:15	290	22	2.15		AP		
01/12/2016 09:55	291	67	12.9		AP		
24/01/2017 09:50	292	38.5	5.58		AP		
28/02/2017 10:40	293	60.5	11.6		AP		
04/04/2017 09:33	294	67	12.7	-0.8	AP		
17/05/2017 09:30	295	50	7.57	-3	AP		
17/05/2017 10:05	296	50	7.86	-3	AP		
20/06/2017 09:40	297	37	2.9	-11.1	AP		
20/06/2017 10:05	298	37	2.76	-11.1	AP		
12/07/2017 12:35	299	45.5	4.96	-9.7	AP		
08/08/2017 08:50	300	27.3	1.43	-12.6	AP		
26/09/2017 09:20	301	18	1.35	-4.2	AP		
24/10/2017 09:32	302	18	1.73		AP		
28/11/2017 10:40	303	55	10.1		AP		
05/01/2018 21:22	304	340	208		PP	4	4
23/01/2018 11:15	305	334	208		AP	6	6
13/02/2018 09:50	306	159.5	41.8		AP		
20/03/2018 10:05	307	145	38.2		AP		
15/05/2018 09:15	308	90	19.5		AP		
26/06/2018 09:30	309	25.2	1.67	-9.7	AP		
26/06/2018 09:35	310	25.2	1.7	-9.7	AP		
25/07/2018 09:00	311	22.5	1.59	-8	AP		
21/08/2018 09:55	312	17	0.907	-10	AP	20	
21/08/2018 10:30	313	17	1.06	-10	AP	12	
02/10/2018 10:28	314	16.3	1.76		AP		
03/10/2018 13:40	315	11	1.3		AP		
13/11/2018 10:50	316	22.5	2.56		AP		
