"Date"	"No_jau"	"h(cm)"	"Q(m3/s)"	"Dh(cm)"	"Mode_jau"	"Inc_rel_Q_val"	"Inc_rel_Q_cal"	"id"
"29/04/2014 08:20"	"273"	87	15.8	NA	"AP"	NA	NA	7
"03/06/2014 07:00"	"274"	79	7.68	-5.5	"AP"	NA	NA	7
"25/06/2014 08:00"	"275"	77	6.94	-5	"AP"	NA	NA	7
"18/07/2014 07:45"	"276"	79	8.76	-3.5	"AP"	NA	NA	7
"21/08/2014 07:45"	"277"	90.1	19.1	NA	"AP"	NA	NA	7
"20/05/2015 07:25"	"284"	77.5	9.72	NA	"AP"	NA	NA	7
"25/06/2015 06:50"	"285"	77	8.79	-1.5	"AP"	NA	NA	7
"01/07/2015 09:30"	"286"	86	14	-2	"AP"	NA	NA	7
"23/07/2015 07:25"	"287"	82.5	12.2	-1.5	"AP"	NA	NA	7
"04/08/2015 11:15"	"288"	77	8.86	-1.5	"AP"	NA	NA	7
"15/09/2015 07:40"	"289"	79.5	11.2	NA	"AP"	NA	NA	7
"19/05/2016 14:10"	"296"	99.5	26.7	NA	"AP"	NA	NA	7
"05/07/2016 07:50"	"297"	80	8.56	-5	"AP"	NA	NA	7
"22/07/2016 06:50"	"298"	85.2	11.7	-5	"AP"	NA	NA	7
"03/08/2016 09:20"	"299"	78.1	8.38	-3	"AP"	NA	NA	7
"13/09/2016 08:20"	"300"	77.3	10.2	-1	"AP"	NA	NA	7
"02/11/2016 09:50"	"301"	71.5	6.77	NA	"AP"	NA	NA	7
"10/04/2018 09:25"	"317"	103.5	32.7	NA	"AP"	NA	NA	7
"11/05/2018 10:10"	"318"	95.3	24.4	-0.1	"AP"	NA	NA	7
"26/06/2018 06:55"	"319"	94	18.7	-5.5	"AP"	NA	NA	7
"16/07/2018 07:20"	"320"	82	10.3	-5	"AP"	NA	NA	7
"24/07/2018 10:20"	"321"	77	8.46	-3.5	"AP"	NA	NA	7
"09/08/2018 13:30"	"322"	81	11.3	-3	"AU"	NA	NA	7
"26/09/2018 09:30"	"323"	75	9.32	NA	"AP"	NA	NA	7
"09/04/2019 09:00"	"328"	83.8	14.8	NA	"AP"	NA	NA	7
