"Date"	"No_jau"	"h(cm)"	"Q(m3/s)"	"Dh(cm)"	"Mode_jau"	"Inc_rel_Q_val"	"Inc_rel_Q_cal"	"id"
"20/03/2008 13:20"	"112"	44.9	1.12	NA	"AP"	NA	NA	8
"17/04/2008 13:45"	"113"	53.2	1.09	-9.3	"PP"	NA	NA	8
"06/05/2008 13:55"	"114"	58.5	0.939	-17.1	"AP"	NA	NA	8
"19/05/2008 12:10"	"115"	59.2	0.892	-18.5	"AP"	NA	NA	8
"28/05/2008 13:10"	"117"	66.2	1.07	-22.7	"PP"	NA	NA	8
"24/06/2008 12:15"	"118"	49.5	0.699	-12.5	"AP"	NA	NA	8
"09/07/2008 13:45"	"119"	46.2	0.643	-9.7	"AP"	NA	NA	8
"24/07/2008 07:55"	"120"	39.6	0.471	-7	"PP"	NA	NA	8
"26/08/2008 12:01"	"121"	37.4	0.549	-3.1	"PP"	NA	NA	8
"30/09/2008 11:40"	"122"	37.2	0.59	-2.1	"AP"	NA	NA	8
"20/11/2008 11:00"	"123"	40	0.798	-0.8	"AP"	NA	NA	8
"12/02/2009 11:00"	"124"	47	1.13	-2	"AP"	NA	NA	8
"23/03/2009 13:40"	"125"	44.5	0.905	-3.9	"PP"	NA	NA	8
"28/04/2009 12:45"	"126"	45.4	0.8	-6.3	"AP"	NA	NA	8
"14/05/2009 12:45"	"127"	58.2	1.19	-13.2	"AP"	NA	NA	8
"10/06/2009 12:30"	"128"	62.7	1.01	-20	"AP"	NA	NA	8
"03/07/2009 08:45"	"129"	51	0.593	-17.1	"AP"	NA	NA	8
"08/07/2009 12:00"	"130"	50.7	0.537	-15.6	"AP"	NA	NA	8
"24/07/2009 08:20"	"131"	45.5	0.617	-9.7	"AP"	NA	NA	8
"11/08/2009 14:30"	"132"	37.5	0.546	-3.4	"AP"	NA	NA	8
"27/08/2009 12:30"	"133"	35	0.498	-2	"AP"	NA	NA	8
"22/09/2009 11:50"	"134"	33.7	0.518	NA	"AP"	NA	NA	8
"18/03/2010 13:15"	"137"	44.9	1.23	NA	"AP"	NA	NA	8
"22/04/2010 11:50"	"138"	41.7	0.912	-2.2	"AP"	NA	NA	8
"27/05/2010 12:23"	"139"	40.1	0.628	-5.8	"AP"	NA	NA	8
"07/06/2010 12:20"	"140"	41	0.604	-6.7	"AP"	NA	NA	8
"29/06/2010 15:10"	"141"	38.3	0.549	-5.5	"AP"	NA	NA	8
"09/07/2010 09:55"	"142"	37	0.655	-2	"AP"	NA	NA	8
"26/07/2010 10:14"	"144"	34.3	0.585	-0.6	"AP"	NA	NA	8
"17/08/2010 12:25"	"145"	32.8	0.534	NA	"AP"	NA	NA	8
"09/02/2011 12:38"	"148"	43	1.2	NA	"AP"	NA	NA	8
"24/03/2011 13:30"	"149"	41.2	0.963	-1.1	"AP"	NA	NA	8
"24/03/2011 13:31"	"150"	41.2	0.849	-1.1	"PP"	2	NA	8
"20/04/2011 09:32"	"151"	37.5	0.678	-2.2	"AP"	NA	NA	8
"19/05/2011 09:40"	"152"	35.5	0.483	-3.7	"AP"	NA	NA	8
"07/06/2011 08:35"	"153"	37.9	0.465	-6.7	"AP"	NA	NA	8
"21/06/2011 14:15"	"154"	36.2	0.515	-3.6	"AP"	NA	NA	8
"13/07/2011 09:48"	"155"	33.5	0.471	-2.2	"AP"	NA	NA	8
"09/08/2011 08:50"	"156"	36.5	0.61	-2.1	"AP"	NA	NA	8
"31/08/2011 09:25"	"157"	34.3	0.523	-1.7	"PP"	NA	NA	8
"11/10/2011 07:55"	"158"	33.7	0.572	NA	"AP"	NA	NA	8
"23/11/2011 10:35"	"159"	34.7	0.65	NA	"AP"	NA	NA	8
"18/01/2012 14:55"	"160"	44.7	1.07	-2.9	"AP"	NA	NA	8
"07/03/2012 10:23"	"161"	43.8	0.829	-5.8	"AP"	NA	NA	8
"30/03/2012 13:30"	"162"	46.8	0.796	-9.7	"AP"	NA	NA	8
"12/04/2012 13:21"	"163"	49.6	0.733	-13.2	"AP"	NA	NA	8
"06/06/2012 09:40"	"164"	57.8	0.677	-22.5	"AP"	NA	NA	8
"02/07/2012 14:20"	"165"	45.4	0.591	-11.6	"AP"	NA	NA	8
"31/07/2012 09:24"	"166"	41.5	0.723	-5.4	"AP"	NA	NA	8
"14/08/2012 09:21"	"167"	34.1	0.552	-1	"AP"	NA	NA	8
"06/09/2012 12:40"	"168"	29.8	0.371	-0.5	"PP"	NA	NA	8
"04/10/2012 12:25"	"169"	32.3	0.49	-0.5	"PP"	NA	NA	8
"08/11/2012 10:40"	"170"	41.3	1.01	NA	"AP"	NA	NA	8
"12/04/2013 10:00"	"174"	85.2	4.73	NA	"AP"	NA	NA	8
"16/05/2013 13:00"	"175"	58.8	1.96	-5.3	"AP"	NA	NA	8
"20/06/2013 13:17"	"176"	71.7	2.19	-15	"AP"	NA	NA	8
"24/07/2013 11:40"	"177"	46.2	1.07	-4.6	"AP"	NA	NA	8
"07/08/2013 07:36"	"178"	51.7	1.42	NA	"AP"	NA	NA	8
"14/02/2014 10:31"	"183"	78	3.96	NA	"AP"	NA	NA	8
"11/03/2014 10:26"	"184"	62.5	2.29	-1.7	"AP"	NA	NA	8
"10/04/2014 08:34"	"185"	61	1.74	-7.2	"AP"	NA	NA	8
"06/05/2014 09:53"	"186"	66.3	1.69	-12.8	"AP"	NA	NA	8
