"Date"	"No_jau"	"h(cm)"	"Q(m3/s)"	"Dh(cm)"	"Mode_jau"	"Inc_rel_Q_val"	"Inc_rel_Q_cal"
"29/03/2004 15:35"	"13"	75.5	4.82	NA	"PP"	NA	NA
"29/04/2004 16:20"	"14"	71.8	3.53	-2.8	"PP"	NA	NA
"03/06/2004 15:40"	"15"	66.7	1.96	-6.2	"PP"	NA	NA
"30/06/2004 16:05"	"16"	57.4	0.782	-6	"PP"	NA	NA
"04/08/2004 14:55"	"17"	50.5	0.476	-2.9	"PP"	NA	NA
"19/08/2004 14:10"	"18"	59.9	1.54	-1.6	"PP"	NA	NA
"06/09/2004 14:40"	"19"	52.7	0.933	NA	"PP"	NA	NA
"24/05/2005 16:05"	"27"	57.3	1.42	NA	"AP"	NA	NA
"28/06/2005 15:55"	"28"	50.5	0.602	-1.3	"PP"	NA	NA
"02/08/2005 14:30"	"29"	55	0.782	-3.7	"PP"	NA	NA
"29/08/2005 15:20"	"30"	53.1	0.55	-4.5	"PP"	NA	NA
"06/10/2005 14:40"	"31"	52.3	0.6	-3	"AP"	NA	NA
"15/11/2005 16:00"	"32"	55	0.988	-1.5	"PP"	NA	NA
"15/12/2005 15:00"	"33"	55.9	1.02	-1.5	"AP"	NA	NA
"24/01/2006 15:05"	"34"	64.3	2.52	NA	"PP"	NA	NA
"09/06/2006 14:30"	"38"	56.9	1.37	NA	"PP"	NA	NA
"21/07/2006 14:30"	"39"	52	0.448	-4.8	"PP"	NA	NA
"24/08/2006 14:30"	"40"	54.3	0.553	-5.5	"PP"	NA	NA
"28/09/2006 14:30"	"41"	57.9	1.28	-1.6	"QD"	NA	NA
"09/11/2006 15:30"	"42"	63.2	2.37	NA	"AP"	NA	NA
"05/04/2007 14:25"	"46"	79.8	6.24	NA	"AP"	NA	NA
"22/05/2007 11:45"	"47"	66.5	2.71	-1.3	"QD"	NA	NA
"18/06/2007 14:25"	"48"	69	2.59	-4.3	"QD"	NA	NA
"18/07/2007 15:25"	"49"	62.5	1.11	-8	"AP"	NA	NA
"22/08/2007 11:54"	"50"	68.8	1.5	-11	"AP"	NA	NA
"19/09/2007 15:40"	"51"	59.7	0.738	-9	"AP"	NA	NA
"03/10/2007 13:45"	"52"	61.3	1.01	-7.5	"AP"	NA	NA
"22/11/2007 15:30"	"53"	72.2	2.89	-6	"AP"	NA	NA
"05/12/2007 13:30"	"54"	112	11.3	-9.4	"AP"	NA	NA
"09/01/2008 14:15"	"55"	203	31.5	NA	"AP"	NA	NA
"24/04/2008 13:00"	"59"	223.5	37.8	NA	"AP"	NA	NA
"31/05/2008 17:00"	"60"	235	30.6	-39	"AP"	NA	NA
"10/06/2008 15:11"	"61"	75.7	4.04	-4	"AP"	NA	NA
"01/07/2008 08:30"	"62"	71.1	2.25	-8	"AP"	NA	NA
"22/07/2008 12:35"	"63"	66	1.51	-7.4	"AP"	NA	NA
"20/08/2008 09:40"	"64"	60.7	1.24	-4.3	"AP"	NA	NA
"11/09/2008 08:15"	"65"	60.2	1.28	-3.3	"AP"	NA	NA
"23/10/2008 13:55"	"66"	58.2	1.19	-2.1	"PP"	NA	NA
"28/11/2008 15:30"	"67"	70	3.48	NA	"AP"	NA	NA
"16/04/2009 14:40"	"69"	67.2	3.02	NA	"AP"	NA	NA
"18/06/2009 14:05"	"70"	62.2	1.59	-3.4	"AP"	NA	NA
"22/07/2009 14:10"	"71"	57.5	0.815	-5.3	"AP"	NA	NA
"11/08/2009 10:00"	"72"	59.5	0.9	-6.5	"AP"	NA	NA
"21/08/2009 12:55"	"73"	52.8	0.436	-7	"AP"	NA	NA
