"Date"	"No_jau"	"h(cm)"	"Q(m3/s)"	"Dh(cm)"	"Mode_jau"	"Inc_rel_Q_val"	"Inc_rel_Q_cal"
"26/02/2009 08:20"	210	10	20.5	NA	"AP"	NA	NA
"29/04/2009 15:00"	211	8	18.1	-1.6	"AP"	NA	NA
"24/06/2009 11:20"	212	-17	4.36	-5	"AP"	NA	NA
"01/07/2009 10:30"	213	-20	4.03	-2.9	"AP"	NA	NA
"21/07/2009 16:10"	214	-5	9.56	-4.9	"AP"	NA	NA
"09/09/2009 14:15"	215	-29	2.23	-4.1	"AP"	NA	NA
"13/10/2009 13:40"	216	-27	3.06	NA	"AP"	NA	NA
"20/04/2010 10:30"	222	3	15.8	NA	"AP"	6	6
"15/06/2010 10:25"	223	-6.6	8.45	-5.7	"AP"	7	7
"20/07/2010 09:35"	224	-20.5	3.09	-6.7	"AP"	NA	NA
"17/08/2010 15:15"	225	-19	3.1	-8.1	"AP"	NA	NA
"28/09/2010 10:50"	226	-1	9.61	-8.8	"AP"	NA	NA
"08/12/2010 08:40"	227	208	331	NA	"SI"	NA	NA
"26/04/2011 10:45"	230	-18	5.16	NA	"AP"	NA	NA
"09/06/2011 10:10"	231	-25	2.17	-4.5	"AP"	NA	NA
"06/07/2011 09:30"	232	-36.7	0.6	-8.9	"PP"	NA	NA
"30/08/2011 12:30"	234	-18	3.33	-5.5	"AP"	NA	NA
"04/10/2011 12:20"	235	-27.9	0.873	-14	"AP"	NA	NA
"26/10/2011 09:00"	236	-19.4	2.3	-9.1	"AP"	NA	NA
"22/11/2011 12:45"	237	-11.6	5.07	-6.7	"AP"	NA	NA
"03/01/2012 09:30"	238	141.5	143	NA	"AP"	NA	NA
"23/05/2012 13:00"	242	100	83.7	NA	"AP"	NA	NA
"26/06/2012 11:10"	243	4.2	8.69	-13.6	"AP"	NA	NA
"17/07/2012 12:45"	244	11.8	7.88	-23.2	"AP"	NA	NA
"28/08/2012 13:45"	245	-14	2.04	-16.5	"AP"	NA	NA
"23/10/2012 10:55"	246	-9	6.11	-6.5	"AP"	NA	NA
"20/11/2012 13:30"	247	3	10.6	-8.7	"AP"	NA	NA
"08/01/2013 12:35"	248	52.9	44.4	NA	"AP"	NA	NA
"18/06/2013 14:00"	252	-2.5	12.4	NA	"AP"	NA	NA
"23/07/2013 16:40"	253	-17.5	5.2	-0.8	"AP"	NA	NA
"20/08/2013 12:30"	254	-19	2.22	-10.1	"AP"	NA	NA
"25/09/2013 07:15"	255	-9	4.22	-12.4	"AP"	NA	NA
"19/11/2013 15:15"	256	44	33.3	-10.7	"AP"	NA	NA
"21/01/2014 09:15"	257	154	170	NA	"AP"	NA	NA
"05/05/2014 13:45"	259	-11.5	7.5	NA	"AP"	NA	NA
"17/06/2014 12:20"	260	-23	1.7	-10.2	"AP"	NA	NA
"22/07/2014 10:30"	261	-9	4.4	-11.8	"AP"	NA	NA
"26/08/2014 12:10"	262	-0.5	4.8	-19	"AP"	NA	NA
"21/10/2014 13:18"	263	6.5	11.6	-9.9	"AP"	NA	NA
"12/11/2014 09:45"	264	28.5	28.2	NA	"AP"	NA	NA
"24/03/2015 12:30"	268	3.5	13.7	NA	"AP"	NA	NA
"26/05/2015 16:50"	269	0	9.16	-5.9	"AP"	NA	NA
"07/07/2015 11:55"	270	-15	1.66	-18.6	"AP"	NA	NA
"04/08/2015 12:20"	271	-23	1.25	-14.6	"AP"	NA	NA
"15/09/2015 13:36"	272	-13.5	2.96	-12	"AP"	NA	NA
"03/11/2015 13:18"	273	-17.2	4.33	-2.8	"AP"	NA	NA
"08/12/2015 13:15"	274	-2	10.8	NA	"AP"	NA	NA
"04/04/2017 13:25"	286	12.5	19.9	NA	"AP"	NA	NA
"17/05/2017 13:45"	287	18.5	22.3	-1.4	"AP"	NA	NA
"20/06/2017 13:48"	288	-17.5	3.3	-5.8	"AP"	NA	NA
"20/06/2017 13:49"	289	-17.5	3.5	-5.8	"AP"	NA	NA
"11/07/2017 12:10"	290	-1	5.68	-16.1	"AP"	NA	NA
"11/07/2017 12:55"	291	-1	5.6	-16.1	"AP"	NA	NA
"08/08/2017 12:00"	292	-22.5	1.38	-11.3	"AP"	NA	NA
"26/09/2017 14:50"	293	-26.5	1.57	-4.9	"AP"	NA	NA
"28/11/2017 14:50"	295	1.5	11	-6	"AP"	NA	NA
"05/01/2018 14:30"	296	212	340	NA	"AP"	NA	NA
"12/03/2019 12:51"	308	29.5	23.6	NA	"AP"	NA	NA
"16/04/2019 13:55"	309	-1	9.83	-5.3	"AP"	15	NA
"04/06/2019 14:58"	310	-18.5	4.11	-2.7	"AP"	9	NA
"25/06/2019 09:40"	311	-12.7	4.32	-8.3	"AP"	10	NA
"10/07/2019 15:00"	312	-26	1.18	-5.8	"AP"	11	11
"06/08/2019 13:40"	313	-32.3	0.523	-6.3	"AP"	9	9
"17/09/2019 14:08"	314	-35.2	0.458	-4.1	"AP"	10	NA
"29/10/2019 17:02"	315	-24.5	1.95	-3	"AP"	7	7
"10/12/2019 10:48"	316	69.2	45.6	-3.6	"AP"	7	7
"28/01/2020 17:06"	317	42.5	33.3	NA	"AP"	5	5
"28/07/2020 10:58"	322	-39.3	0.572	NA	"AP"	10	10
"01/09/2020 15:29"	323	-36.5	0.526	-3.9	"AP"	NA	NA
"01/09/2020 16:00"	324	-36.5	0.546	-3.9	"AP"	NA	NA
"13/10/2020 13:55"	325	0.6	9.85	-5.5	"AP"	NA	NA
"18/11/2020 13:00"	326	-9.8	7.94	NA	"AP"	7	7
"01/06/2021 15:30"	330	-4.5	10.2	NA	"AP"	NA	NA
"28/07/2021 12:13"	331	3	9.62	-8.4	"AP"	NA	5
"07/09/2021 15:48"	332	-23	1.47	-16.5	"AP"	15	NA
"26/10/2021 16:33"	333	-4.5	7.13	-14	"AP"	NA	NA
"08/12/2021 13:50"	334	140	106	NA	"AP"	NA	NA
"25/01/2022 15:20"	337	24.3	22.6	NA	"AP"	4	4
"29/03/2022 17:10"	338	4	11.5	-4.6	"AP"	5	5
"11/05/2022 15:07"	339	-3	5.9	-15.6	"AP"	6	6
"29/06/2022 16:27"	340	29.6	20.5	-8.8	"AP"	4	4
"28/07/2022 13:20"	341	-31.5	0.864	-12.1	"AP"	11	11
"06/09/2022 15:30"	342	-26.5	0.735	-18	"AP"	15	15
"06/09/2022 16:00"	343	-26.5	0.779	-18	"AP"	14	14
"02/11/2022 15:10"	344	-19.8	5.32	-1.1	"AP"	5	5
"21/12/2022 17:00"	345	31	26	NA	"AP"	4	4
