"Date"	"No_jau"	"h(cm)"	"Q(m3/s)"	"Dh(cm)"	"Mode_jau"	"Inc_rel_Q_val"	"Inc_rel_Q_cal"
"22/04/2015 12:00"	70	13.8	42.9	NA	"AP"	NA	NA
"05/05/2015 12:02"	71	190.5	246	-25.6	"AP"	NA	NA
"05/05/2015 13:22"	72	190.5	249	-25.9	"AP"	NA	NA
"10/06/2015 07:28"	73	-14	20.5	NA	"AP"	NA	NA
"18/05/2017 08:30"	99	-10	32.3	NA	"AP"	NA	NA
"08/06/2017 08:30"	100	-1	33.7	-11.1	"AP"	NA	NA
"22/06/2017 07:30"	101	-24.5	15.5	-14	"AP"	NA	NA
"22/06/2017 08:00"	102	-24.5	16.7	-14	"AP"	NA	NA
"26/07/2017 08:00"	103	-40	7.89	-14.1	"AP"	NA	NA
"26/07/2017 08:45"	104	-40	7.36	-14.1	"AP"	NA	NA
"10/08/2017 08:40"	105	-42	7.5	-12.4	"AP"	NA	NA
"05/09/2017 09:15"	106	-44	6.43	-12.7	"AP"	NA	NA
"04/10/2017 10:33"	107	-35	11.8	-11.2	"AP"	NA	NA
"23/11/2017 10:00"	108	-38	10.3	-11.2	"AP"	NA	NA
"13/12/2017 08:15"	109	-16	24.5	-8.5	"AP"	NA	NA
"09/01/2018 15:15"	110	258	378	NA	"AP"	5	5
"19/04/2018 09:10"	113	31	77	NA	"AP"	NA	NA
"14/06/2018 08:05"	114	58	103	-4.3	"AP"	NA	NA
"19/07/2018 08:30"	115	-23.5	14.2	-18.7	"AP"	NA	NA
"09/08/2018 09:00"	116	-32	8.53	-20.3	"AP"	12	17
"30/08/2018 07:45"	117	-34.5	7.18	-20.6	"AP"	NA	NA
"26/09/2018 08:30"	118	-37.5	6.64	-18.6	"AP"	NA	NA
"08/11/2018 09:00"	119	-36	8.02	-17.3	"AP"	NA	NA
"29/11/2018 09:20"	120	-33	9.8	-16.9	"AP"	NA	NA
"13/12/2018 09:30"	121	-29.5	12.9	-14.8	"AP"	NA	NA
"29/01/2019 09:15"	122	-8	32.1	-6	"AP"	NA	NA
"28/02/2019 09:20"	123	-11.5	27.4	-8.8	"AP"	NA	NA
"11/04/2019 09:10"	124	-20.2	17.9	-14.8	"AP"	NA	NA
"10/05/2019 08:00"	125	-6	20.5	-24.7	"AP"	NA	NA
"12/06/2019 12:15"	126	-13	12	-33	"AP"	NA	NA
"25/06/2019 07:30"	127	-19	8.97	-32.4	"AU"	NA	NA
"11/07/2019 07:50"	128	-29.7	4.77	-31	"AP"	NA	NA
"25/07/2019 07:25"	129	-36.5	3.75	-26.7	"AP"	NA	NA
"22/08/2019 09:30"	130	-41	3.62	-22.5	"AP"	NA	NA
"19/09/2019 07:50"	131	-50	2.55	-19.4	"AP"	NA	NA
"24/10/2019 09:30"	132	-35	9.35	-15.7	"AP"	8	8
"06/12/2019 08:50"	133	36	74.1	-8.2	"AP"	NA	NA
"16/01/2020 10:21"	134	30	72	NA	"VS"	5	5
"14/05/2020 08:48"	136	24.5	62.5	NA	"AP"	NA	NA
"11/06/2020 09:30"	137	-15	18.4	-8.3	"AP"	NA	NA
"24/06/2020 08:00"	138	-16	16.2	-11.3	"AP"	NA	NA
"02/07/2020 09:20"	139	-7	21	-12.3	"AP"	NA	NA
"23/07/2020 08:06"	140	-35	5.91	-17	"AP"	NA	NA
"20/08/2020 09:02"	141	-33.7	4.98	-21.3	"AP"	7	7
"24/09/2020 08:15"	142	-39.5	4.35	-17.6	"AP"	NA	NA
"22/10/2020 07:45"	143	-12	20.7	-7.7	"AP"	NA	NA
"10/11/2020 09:15"	144	-15	19.6	-6.4	"AP"	NA	NA
"26/11/2020 10:00"	145	-25.1	13.9	-6.4	"AP"	NA	NA
"14/01/2021 09:00"	146	38	77	NA	"AP"	NA	NA
"01/04/2021 07:50"	148	8	42.3	NA	"AP"	NA	NA
"06/05/2021 08:30"	149	-7	22.6	-9.6	"AP"	NA	NA
"01/07/2021 09:40"	150	52	68.1	-23	"AP"	5	5
"21/07/2021 08:55"	151	40	56	-20.1	"AP"	NA	NA
"24/08/2021 09:30"	152	-15.5	10.1	-25.4	"AP"	9	9
"29/09/2021 08:00"	153	7.5	22	-25	"AP"	NA	NA
"18/11/2021 09:39"	154	-1.5	15.6	-27.1	"AP"	6	6
"22/12/2021 09:55"	155	33	51.1	-17	"AP"	5	5
"24/02/2022 10:08"	156	33	53.3	NA	"AP"	4	4
"24/02/2022 10:08"	156	33	53.3	NA	"AP"	4	4
"13/04/2022 10:09"	157	41.5	41.7	-17.3	"AP"	5	5
"13/04/2022 10:52"	158	41.5	43	-17.3	"AP"	5	5
"31/05/2022 09:55"	159	8.5	9.22	-37.8	"AP"	6	6
"07/07/2022 09:26"	160	30.5	26.6	-23.8	"AP"	4	4
"20/07/2022 14:40"	161	-5	8.06	-29.2	"AP"	8	8
"18/08/2022 08:55"	162	-18	5.4	-28.4	"AP"	6	6
"05/10/2022 10:04"	163	-17	8.4	-15.8	"AP"	8	8
"20/10/2022 09:06"	164	-13	11.9	-7.3	"AP"	6	6
"06/12/2022 12:00"	165	-13.5	16.7	NA	"AP"	5	5
"20/03/2012 13:50"	384	42.3	2.59	NA	"AP"	NA	NA
"16/05/2012 10:25"	385	44.5	2.67	-1.7	"AP"	NA	NA
"20/06/2012 07:40"	386	37.5	1.71	-0.2	"AP"	NA	NA
"17/07/2012 13:20"	387	34	0.902	-3.3	"AP"	NA	NA
"16/08/2012 11:40"	389	24.2	0.253	-2.5	"AU"	NA	NA
