"Date"	"No_jau"	"h(cm)"	"Q(m3/s)"	"Dh(cm)"	"Mode_jau"	"Inc_rel_Q_val"	"Inc_rel_Q_cal"	"id"
"02/03/2011 09:40"	"241"	68	12.7	NA	"AP"	NA	NA	14
"27/04/2011 12:45"	"242"	26	3.03	-0.6	"AP"	NA	NA	14
"10/06/2011 10:15"	"243"	24.3	1.68	-6.5	"AP"	NA	NA	14
"05/07/2011 09:00"	"244"	22.5	1.19	-9.3	"AP"	NA	NA	14
"26/07/2011 08:45"	"245"	35	3.1	-7.7	"AP"	NA	NA	14
"30/08/2011 09:30"	"246"	34	3.84	-2.6	"AP"	NA	NA	14
"04/10/2011 09:00"	"247"	15.2	1.34	NA	"AP"	NA	NA	14
"23/05/2012 16:50"	"253"	276	83.5	NA	"AP"	NA	NA	14
"26/06/2012 08:10"	"254"	52.8	6.32	-10.5	"AP"	NA	NA	14
"17/07/2012 09:05"	"255"	58.7	5.26	-20.7	"AP"	NA	NA	14
"28/08/2012 10:00"	"256"	23.5	1.73	-5.4	"AP"	NA	NA	14
"23/10/2012 08:25"	"257"	35	5.1	NA	"AP"	NA	NA	14
"18/06/2013 12:00"	"262"	71	14	NA	"AP"	NA	NA	14
"24/07/2013 10:00"	"263"	38	3.1	-10.7	"AP"	NA	NA	14
"24/09/2013 09:15"	"264"	31	2.52	-7.3	"AP"	NA	NA	14
"19/11/2013 09:15"	"265"	90	19.8	NA	"AP"	NA	NA	14
"05/05/2014 09:00"	"268"	36	4.76	NA	"AP"	NA	NA	14
"17/06/2014 08:50"	"269"	23	1.42	-7.5	"AP"	NA	NA	14
"22/07/2014 07:15"	"270"	79.5	13.8	-9.1	"AP"	NA	NA	14
"26/08/2014 09:00"	"271"	36.2	3.6	-6	"AP"	NA	NA	14
"21/10/2014 09:50"	"272"	57.8	10.5	NA	"AP"	NA	NA	14
"24/03/2015 09:15"	"277"	54	9.6	NA	"AP"	NA	NA	14
"26/05/2015 13:03"	"278"	43	5.59	-3.6	"AP"	NA	NA	14
"07/07/2015 08:35"	"279"	23	1.37	-8	"AP"	NA	NA	14
"04/08/2015 09:05"	"280"	20	1.08	-7.8	"AP"	NA	NA	14
"15/09/2015 09:00"	"281"	26	2.28	-3.8	"AP"	NA	NA	14
"03/11/2015 09:50"	"282"	21	1.78	-2.5	"AP"	NA	NA	14
"08/12/2015 10:15"	"283"	35.2	4.83	NA	"AP"	NA	NA	14
"19/07/2016 09:30"	"288"	32	4.1	NA	"AP"	NA	NA	14
"25/08/2016 11:00"	"289"	27	1.6	-9.9	"AP"	NA	NA	14
"05/10/2016 09:15"	"290"	22	2.15	NA	"AP"	NA	NA	14
"28/02/2017 10:40"	"293"	60.5	11.6	NA	"AP"	NA	NA	14
"04/04/2017 09:33"	"294"	67	12.7	-0.8	"AP"	NA	NA	14
"17/05/2017 09:30"	"295"	50	7.57	-3	"AP"	NA	NA	14
"17/05/2017 10:05"	"296"	50	7.86	-3	"AP"	NA	NA	14
"20/06/2017 09:40"	"297"	37	2.9	-11.1	"AP"	NA	NA	14
"20/06/2017 10:05"	"298"	37	2.76	-11.1	"AP"	NA	NA	14
"12/07/2017 12:35"	"299"	45.5	4.96	-9.7	"AP"	NA	NA	14
"08/08/2017 08:50"	"300"	27.3	1.43	-12.6	"AP"	NA	NA	14
"26/09/2017 09:20"	"301"	18	1.35	-4.2	"AP"	NA	NA	14
"24/10/2017 09:32"	"302"	18	1.73	NA	"AP"	NA	NA	14
"15/05/2018 09:15"	"308"	90	19.5	NA	"AP"	NA	NA	14
"26/06/2018 09:30"	"309"	25.2	1.67	-9.7	"AP"	NA	NA	14
"26/06/2018 09:35"	"310"	25.2	1.7	-9.7	"AP"	NA	NA	14
"25/07/2018 09:00"	"311"	22.5	1.59	-8	"AP"	NA	NA	14
"21/08/2018 09:55"	"312"	17	0.907	-10	"AP"	20	NA	14
"21/08/2018 10:30"	"313"	17	1.06	-10	"AP"	12	NA	14
"02/10/2018 10:28"	"314"	16.3	1.76	NA	"AP"	NA	NA	14
"16/04/2019 10:15"	"321"	34	4.65	NA	"AP"	NA	NA	14
"04/06/2019 10:40"	"322"	25	2.58	-2.8	"AP"	7	NA	14
"10/07/2019 09:38"	"323"	22	1.28	-7.5	"AP"	8	NA	14
"06/08/2019 10:00"	"324"	17.9	0.829	-6.3	"AP"	16	16	14
"17/09/2019 10:06"	"325"	10.2	0.651	NA	"AP"	22	22	14
"18/05/2020 08:55"	"331"	23	2.67	NA	"AU"	NA	NA	14
"11/06/2020 09:00"	"332"	24	1.47	-8.5	"AP"	7	7	14
"15/07/2020 09:55"	"333"	23	1.11	-9.5	"AP"	NA	NA	14
"28/07/2020 09:03"	"334"	21.1	0.674	-10.7	"AP"	7	7	14
"01/09/2020 11:00"	"335"	16.8	0.77	-5.7	"AP"	NA	NA	14
"13/10/2020 10:05"	"336"	55	9.73	NA	"AP"	NA	NA	14
"01/06/2021 12:00"	"341"	42.5	6	NA	"AP"	NA	NA	14
"27/07/2021 09:41"	"342"	49	5.11	-12.6	"AP"	NA	10	14
"27/07/2021 10:20"	"343"	49	5	-12.6	"AP"	NA	25	14
"07/09/2021 09:30"	"344"	28.6	1.24	-14.2	"AP"	NA	NA	14
"26/10/2021 09:15"	"345"	35.5	4.31	-2.6	"AP"	7	7	14
"08/12/2021 12:27"	"346"	280	79.8	NA	"AP"	5	5	14
"25/01/2022 12:20"	"347"	70.9	13	NA	"AU"	9	9	14
"30/03/2022 08:15"	"349"	46	6.66	-0.9	"AP"	6	6	14
"12/05/2022 07:46"	"350"	29.8	2.58	-6.8	"AP"	6	6	14
"12/05/2022 08:27"	"351"	29.9	2.8	-6.8	"AP"	8	8	14
"30/06/2022 07:59"	"352"	74.6	10.7	-14.7	"AP"	6	6	14
"30/06/2022 08:56"	"353"	73.3	9.73	-14.7	"AP"	6	6	14
"11/08/2022 09:16"	"354"	20.5	0.717	-9.8	"AP"	5	5	14
"07/09/2022 09:15"	"355"	31.5	2.6	-9.1	"AP"	6	6	14
"03/11/2022 09:20"	"356"	25.9	3.02	-0.8	"AP"	7	7	14
"27/12/2022 10:00"	"357"	195	50.8	NA	"AP"	NA	NA	14
"23/04/2014 13:40"	"535"	-110.5	17.4	NA	"AP"	NA	NA	14
"22/05/2014 08:20"	"536"	-115	12.4	-3	"AP"	NA	NA	14
"05/06/2014 08:35"	"537"	-111	15.2	-3	"AP"	NA	NA	14
"18/06/2014 06:20"	"538"	-123.2	7.39	-3	"AP"	NA	NA	14
"01/07/2014 09:50"	"539"	-120	9.25	-3	"AP"	NA	NA	14
"16/07/2014 08:50"	"540"	-111	16.6	NA	"AP"	NA	NA	14
"25/03/2015 10:05"	"546"	-87	45.2	NA	"AP"	NA	NA	14
"05/05/2015 12:20"	"547"	-99	28.8	-2	"AP"	NA	NA	14
"27/05/2015 13:40"	"548"	-115	11.3	-5	"AP"	NA	NA	14
"10/06/2015 09:30"	"549"	-116.5	10.7	-5	"AP"	NA	NA	14
"30/06/2015 13:40"	"550"	-115	11.5	-5	"AP"	NA	NA	14
